S_level,estimator,r2_gain,rmse_improvement,vector_error_improvement,r2_S,r2_S_plus_H
S0_position_volume,extra_trees,-0.016673116429744894,-0.004015680804025923,-0.0060743349301493055,-1.7664852866411072,-1.783158403070852
S0_position_volume,random_forest,0.015824864804527827,-0.0004021921601615741,0.0003785684549164614,-2.2177133678288152,-2.2018885030242874
S0_position_volume,ridge,-0.06883384603159493,1.5454398650582846e-05,0.019818076115256655,-1.7373647610901113,-1.8061986071217062
S1_recent_velocity,extra_trees,0.017706422275083122,0.0018931251091272028,0.004549297114688544,-1.8169643242964992,-1.7992579020214161
S1_recent_velocity,random_forest,0.10865801084529947,0.013812197082768485,0.024725735599268273,-2.234573950857207,-2.1259159400119074
S1_recent_velocity,ridge,-0.01069513981791581,0.009421743086671097,0.03670935531134534,-1.7500215820911431,-1.760716721909059
S2_recent_acceleration,extra_trees,-0.07893130828374773,-0.014013808683521312,-0.02474516914223046,-1.8005365171788168,-1.8794678254625645
S2_recent_acceleration,random_forest,0.21095396432226998,0.03112084173669838,0.05333310825848092,-2.174896128218584,-1.9639421638963142
S2_recent_acceleration,ridge,-0.053582832013245874,0.0016263212533751403,0.02118074844190221,-1.6993195647365886,-1.7529023967498345
