S_level,estimator,test_sequence,features,r2,rmse,vector_error,n_train,n_test
S0_position_volume,ridge,01,S,-1.5247172740963357,0.9659323634746094,1.645824192352735,203,189
S0_position_volume,ridge,01,S_plus_H,-1.102677271417423,0.8815087990562114,1.4911426507992933,203,189
S0_position_volume,ridge,02,S,-1.9500122480838868,0.9299697691132209,1.5707776312889628,189,203
S0_position_volume,ridge,02,S_plus_H,-2.5097199428259893,1.014362424734318,1.6858230206118914,189,203
S0_position_volume,random_forest,01,S,-1.653834390173009,0.990323877573633,1.6896657847573944,203,189
S0_position_volume,random_forest,01,S_plus_H,-1.77358686806517,1.0124211932583749,1.7261709914030268,203,189
S0_position_volume,random_forest,02,S,-2.7815923454846216,1.0529173366489117,1.7927199686393271,189,203
S0_position_volume,random_forest,02,S_plus_H,-2.630190137983405,1.031624405284493,1.7554576250838618,189,203
S0_position_volume,extra_trees,01,S,-1.6113989352433429,0.9823742108536332,1.6780172378608977,203,189
S0_position_volume,extra_trees,01,S_plus_H,-1.7120846738055042,1.0011334303653965,1.708181335712631,203,189
S0_position_volume,extra_trees,02,S,-1.9215716380388714,0.9254760650310058,1.5648314166208126,189,203
S0_position_volume,extra_trees,02,S_plus_H,-1.8542321323361997,0.9147482071272944,1.546815988629378,189,203
S1_recent_velocity,ridge,01,S,-1.41744158244252,0.9451882968343817,1.6074573194050574,203,189
S1_recent_velocity,ridge,01,S_plus_H,-1.01732970880987,0.8634332794568524,1.4557151861162092,203,189
S1_recent_velocity,ridge,02,S,-2.082601581739766,0.9506389838746397,1.6069891357498802,189,203
S1_recent_velocity,ridge,02,S_plus_H,-2.504103735008248,1.0135505150788269,1.6853125584160378,189,203
S1_recent_velocity,random_forest,01,S,-1.7097935392464723,1.0007104686385448,1.7068431904316388,203,189
S1_recent_velocity,random_forest,01,S_plus_H,-1.7919808990353197,1.015772761854702,1.7326465782743339,203,189
S1_recent_velocity,random_forest,02,S,-2.7593543624679415,1.049816885777135,1.787927541075107,189,203
S1_recent_velocity,random_forest,02,S_plus_H,-2.4598509809884948,1.0071301983954408,1.7126726820338756,189,203
S1_recent_velocity,extra_trees,01,S,-1.6353306920623303,0.9868653520798961,1.684627192277455,203,189
S1_recent_velocity,extra_trees,01,S_plus_H,-1.6983918074283753,0.9986029538870633,1.7016207111823691,203,189
S1_recent_velocity,extra_trees,02,S,-1.9985979565306682,0.937596638850992,1.5877253393065722,189,203
S1_recent_velocity,extra_trees,02,S_plus_H,-1.9001239966144572,0.9220727868255701,1.561633226172281,189,203
S2_recent_acceleration,ridge,01,S,-1.2304397967171858,0.9078949371259252,1.5411548932286308,203,189
S2_recent_acceleration,ridge,01,S_plus_H,-0.9297926970884695,0.8444922548398436,1.4220079833271113,203,189
S2_recent_acceleration,ridge,02,S,-2.1681993327559916,0.9637472915063854,1.6283351172808465,189,203
S2_recent_acceleration,ridge,02,S_plus_H,-2.5760120964111994,1.0238973312857167,1.7051205302985617,189,203
S2_recent_acceleration,random_forest,01,S,-1.7137840436993452,1.0014470322242652,1.7078538797535199,203,189
S2_recent_acceleration,random_forest,01,S_plus_H,-1.6992069388502935,0.9987537717149192,1.7041010137099857,203,189
S2_recent_acceleration,random_forest,02,S,-2.636008212737823,1.0324507621335597,1.756507813318766,189,203
S2_recent_acceleration,random_forest,02,S_plus_H,-2.228677388942335,0.972902339169509,1.6535944628453385,189,203
S2_recent_acceleration,extra_trees,01,S,-1.690364708395714,0.9971165398268739,1.7010398956729524,203,189
S2_recent_acceleration,extra_trees,01,S_plus_H,-1.8122292668343207,1.0194494675389638,1.738742779911297,203,189
S2_recent_acceleration,extra_trees,02,S,-1.9107083259619193,0.923753858680225,1.563372243661178,189,203
S2_recent_acceleration,extra_trees,02,S_plus_H,-1.9467063840908085,0.9294485483351776,1.5751596977072946,189,203
