outcome,test_sequence,r2_train_mean_dummy,rmse
future_vector,01,-1.7630846845289632,1.0105026095059688
future_vector,02,-2.22249101078807,0.9719698168232276
future_speed,01,-2.706241092711031,0.704797969751796
future_speed,02,-7.703234187515502,0.6401545509812475
future_radial_velocity,01,-0.003544437774337439,0.46822118489274
future_radial_velocity,02,-0.002689441516850355,0.5372898078204879
