test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,geometry,replicate,direction_seed
01,random_forest,0.07119984089503295,0.03651636865334029,-0.03468347224169266,0.0015262630480379316,0.0015544989019229542,0.0016314100587094221,True,True,domain_balanced,10,20260840
01,extra_trees,0.10780985198710358,0.10615356968753586,-0.0016562822995677129,0.0014958807065874324,0.0014972685564417746,0.0016314100587094221,True,True,domain_balanced,10,20260840
02,random_forest,0.11183373215464365,0.09242276333196353,-0.01941096882268012,0.001266281819344965,0.0012800443924714158,0.0013995778027439654,True,True,domain_balanced,10,20260840
02,extra_trees,0.22061571010599768,0.1950894397066989,-0.02552627039929878,0.0011862031086150586,0.0012054717764684543,0.0013995778027439654,True,True,domain_balanced,10,20260840
01,random_forest,0.05819221567634336,0.13965235463288295,0.08146013895653959,0.0016774475525452807,0.0016032631093313757,0.001772325486245433,True,True,domain_balanced,11,20260841
01,extra_trees,0.07650928051850381,0.1909347268946272,0.1144254463761234,0.001661055257527726,0.0015547465178297605,0.001772325486245433,True,True,domain_balanced,11,20260841
02,random_forest,0.03055466775446125,0.10300681161318026,0.07245214385871901,0.0013277697753513694,0.001277190527813004,0.0014042736136650597,True,True,domain_balanced,11,20260841
02,extra_trees,0.14396597653212972,0.21603779230582976,0.07207181577370003,0.001247689813936658,0.0011940119683821833,0.0014042736136650597,True,True,domain_balanced,11,20260841
01,random_forest,0.05197791660586104,0.14459618839876676,0.09261827179290572,0.0016709472030235152,0.0015872271779114237,0.001760282411843454,True,True,domain_balanced,12,20260842
01,extra_trees,0.0439338321408379,0.17760996934296736,0.13367613720212945,0.0016780213252171312,0.001556296781082163,0.001760282411843454,True,True,domain_balanced,12,20260842
02,random_forest,0.033066773703272045,0.0655772664248504,0.032510492721578355,0.0013495807319963392,0.0013266987658393623,0.0014272706577455122,True,True,domain_balanced,12,20260842
02,extra_trees,0.13445971581698157,0.18470354332213768,0.0502438275051561,0.00127686290471083,0.0012392485078178354,0.0014272706577455122,True,True,domain_balanced,12,20260842
01,random_forest,0.0047867211054132275,0.07392449729740991,0.06913777619199668,0.0017288388983238583,0.00166770658065733,0.0017767123298837774,True,True,domain_balanced,13,20260843
01,extra_trees,0.05139073786513437,0.15407305591054743,0.10268231804541306,0.0016878743942684172,0.001593906616723317,0.0017767123298837774,True,True,domain_balanced,13,20260843
02,random_forest,0.03176177899494326,0.09074255771115769,0.05898077871621443,0.0013030444977805782,0.0012627331087696491,0.0013809671083919825,True,True,domain_balanced,13,20260843
02,extra_trees,0.13434229489418759,0.20541295791295033,0.07107066301876275,0.0012320866022074702,0.001180426293794183,0.0013809671083919825,True,True,domain_balanced,13,20260843
01,random_forest,0.1784906361282148,0.259224885338603,0.08073424921038819,0.001426292386851068,0.0013543954846687108,0.0016216518466226175,True,True,domain_balanced,14,20260844
01,extra_trees,0.13541398098808133,0.26216586352909077,0.12675188254100944,0.0014632091532301781,0.001351704243508417,0.0016216518466226175,True,True,domain_balanced,14,20260844
02,random_forest,0.16855342085745173,0.16516972991219603,-0.003383690945255702,0.001267781174466141,0.0012703582637093264,0.0014444883760264284,True,True,domain_balanced,14,20260844
02,extra_trees,0.23496212367889258,0.24826606579455524,0.01330394211566266,0.001216098049063436,0.0012054777554336403,0.0014444883760264284,True,True,domain_balanced,14,20260844
