test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,geometry,replicate,direction_seed
01,random_forest,0.04196249234595384,0.08462952914006328,0.042667036794109436,0.001598654485459208,0.0015626503140606176,0.001679608244557714,True,True,domainwise_residualizer,5,20260835
01,extra_trees,0.09360753201737193,0.17173467550982113,0.0781271434924492,0.001554968151659078,0.001486442432561265,0.001679608244557714,True,True,domainwise_residualizer,5,20260835
02,random_forest,0.05283759601787552,0.0608901255738441,0.00805252955596858,0.0012925041404413709,0.001286998145026567,0.0013846323627492467,True,True,domainwise_residualizer,5,20260835
02,extra_trees,0.17622240329578587,0.2092247357284771,0.03300233243269124,0.0012053820110430116,0.001180990095624248,0.0013846323627492467,True,True,domainwise_residualizer,5,20260835
01,random_forest,0.021621715986804735,0.092242772943957,0.07062105695715226,0.001648848182422874,0.0015882253557101883,0.0017123753595844732,True,True,domainwise_residualizer,6,20260836
01,extra_trees,0.06164008472130422,0.12556315332373902,0.0639230686024348,0.001614774904154458,0.0015588039308700602,0.0017123753595844732,True,True,domainwise_residualizer,6,20260836
02,random_forest,0.11925035671233519,0.16003170620131202,0.040781349488976826,0.0013032799126794425,0.0012727494268715256,0.0014429004064399576,True,True,domainwise_residualizer,6,20260836
02,extra_trees,0.2143149010420181,0.21811142870306366,0.0037965276610455456,0.0012309367046097867,0.001227959083926507,0.0014429004064399576,True,True,domainwise_residualizer,6,20260836
01,random_forest,0.0970199869719105,0.1166857255352175,0.019665738563307,0.0015264896506476879,0.001509775660790043,0.0016534754403575598,True,True,domainwise_residualizer,7,20260837
01,extra_trees,0.07716467229816004,0.1372976198101037,0.060132947511943646,0.0015431811198817781,0.0014920565844767873,0.0016534754403575598,True,True,domainwise_residualizer,7,20260837
02,random_forest,0.17010028109640385,0.16912559225848955,-0.0009746888379142948,0.001244413563960544,0.0012451441101095587,0.0014210607142627106,True,True,domainwise_residualizer,7,20260837
02,extra_trees,0.23005005090375996,0.2658943088438511,0.03584425794009116,0.0011986245670864036,0.0011703916722083268,0.0014210607142627106,True,True,domainwise_residualizer,7,20260837
01,random_forest,0.005577114041504405,0.0826494103244827,0.07707229628297829,0.0016677486473805274,0.0016018163193535757,0.0017176820583044814,True,True,domainwise_residualizer,8,20260838
01,extra_trees,0.073893467608383,0.17588096467407577,0.10198749706569277,0.0016094426856365115,0.0015182385498450184,0.0017176820583044814,True,True,domainwise_residualizer,8,20260838
02,random_forest,0.07463790361512102,0.12293208265244782,0.0482941790373268,0.0013156844879720008,0.0012808920012955523,0.0014227065157151838,True,True,domainwise_residualizer,8,20260838
02,extra_trees,0.18610553307715305,0.2263648623933201,0.04025932931616705,0.0012338999571388479,0.0012029954769149029,0.0014227065157151838,True,True,domainwise_residualizer,8,20260838
01,random_forest,0.02854723689349903,0.0943018131657889,0.06575457627228987,0.0016360061804998694,0.0015796680897637748,0.0017054664100159943,True,True,domainwise_residualizer,9,20260839
01,extra_trees,0.07853598218032498,0.16750361232863153,0.08896763014830655,0.0015933577117183155,0.0015144860414591538,0.0017054664100159943,True,True,domainwise_residualizer,9,20260839
02,random_forest,0.10108592937935301,0.14924797791490285,0.04816204853554984,0.0012881958451262097,0.001253211293254288,0.0014140389454930713,True,True,domainwise_residualizer,9,20260839
02,extra_trees,0.18612681347330606,0.24541299283124907,0.059286179357943,0.0012257479488522252,0.0011802593955927902,0.0014140389454930713,True,True,domainwise_residualizer,9,20260839
