test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,geometry,replicate,direction_seed
01,random_forest,0.04301606856020723,0.13119670792019156,0.08818063935998433,0.0016036239596567893,0.0015279563317875439,0.0016854227065464203,True,True,domainwise_residualizer,15,20260845
01,extra_trees,0.04238586670471067,0.14968088443072836,0.10729501772601768,0.0016041518893523358,0.0015116149717542768,0.0016854227065464203,True,True,domainwise_residualizer,15,20260845
02,random_forest,0.1637916518422089,0.2000113113612738,0.03621965951906492,0.0012706549770560272,0.0012428316818363769,0.0014436975227202508,True,True,domainwise_residualizer,15,20260845
02,extra_trees,0.23320455584858468,0.24412254621167784,0.010917990363093155,0.001216774653417662,0.0012080810948668856,0.0014436975227202508,True,True,domainwise_residualizer,15,20260845
01,random_forest,0.04149322738186578,0.07647781670704268,0.034984589325176896,0.0015866597032248898,0.0015574347656771462,0.00166730822564463,True,True,domainwise_residualizer,16,20260846
01,extra_trees,0.0922693657099779,0.1721267806925082,0.0798574149825303,0.001544061858885799,0.0014745792422817862,0.00166730822564463,True,True,domainwise_residualizer,16,20260846
02,random_forest,0.07650994216880735,0.09249886442404032,0.015988922255232962,0.0012915252103122819,0.0012802959285084553,0.0013998853814243368,True,True,domainwise_residualizer,16,20260846
02,extra_trees,0.1964546717170773,0.22853433426937297,0.03207966255229566,0.0012047362161170137,0.0011804431518614774,0.0013998853814243368,True,True,domainwise_residualizer,16,20260846
01,random_forest,0.1080959810954093,0.07478389154654919,-0.03331208954886011,0.0015098474673467754,0.0015377849531102079,0.0016460168730193904,True,True,domainwise_residualizer,17,20260847
01,extra_trees,0.14876637192378983,0.13279724172331409,-0.015969130200475745,0.0014750216691415425,0.0014887930736995748,0.0016460168730193904,True,True,domainwise_residualizer,17,20260847
02,random_forest,0.05643287200892322,0.03909342097809243,-0.017339451030830788,0.0012643880514265089,0.0012759526706316675,0.0013593152110787173,True,True,domainwise_residualizer,17,20260847
02,extra_trees,0.17913349947280355,0.19106200267511575,0.011928503202312202,0.0011793161556866113,0.0011707161232846343,0.0013593152110787173,True,True,domainwise_residualizer,17,20260847
01,random_forest,0.06347113767284784,0.06476316002614746,0.0012920223532996156,0.0015529215586873603,0.0015518499943560653,0.0016518022846357448,True,True,domainwise_residualizer,18,20260848
01,extra_trees,0.13743971140778133,0.1549081303040153,0.01746841889623396,0.0014903341940400992,0.0014751660127282924,0.0016518022846357448,True,True,domainwise_residualizer,18,20260848
02,random_forest,0.033049103166875704,0.04341425058571402,0.010365147418838316,0.0012778996019315535,0.0012710319803932112,0.001357309511471928,True,True,domainwise_residualizer,18,20260848
02,extra_trees,0.1808693972382036,0.20176848098026134,0.020899083742057734,0.0011761727149172878,0.0011610714890296202,0.001357309511471928,True,True,domainwise_residualizer,18,20260848
01,random_forest,0.08787167616490532,0.0657474823101244,-0.022124193854780927,0.001516720956115887,0.0015350052134957177,0.001635697743465636,True,True,domainwise_residualizer,19,20260849
01,extra_trees,0.1559191689811078,0.13044328302526353,-0.02547588595584427,0.0014590485227211855,0.0014809032066055064,0.001635697743465636,True,True,domainwise_residualizer,19,20260849
02,random_forest,0.0659578861045218,0.05686931865509992,-0.00908856744942188,0.001265508255730094,0.0012716502772988072,0.0013667661527028108,True,True,domainwise_residualizer,19,20260849
02,extra_trees,0.2127635840755273,0.2349728287031133,0.022209244627586,0.001161807943189926,0.0011453024341635597,0.0013667661527028108,True,True,domainwise_residualizer,19,20260849
