test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,geometry,replicate,direction_seed
01,random_forest,0.08090577269247068,0.15195624638206173,0.07105047368959105,0.0016432394883645755,0.0015784468888753434,0.0017582316816225458,True,True,domain_balanced,25,20260855
01,extra_trees,0.07042747062753563,0.1881874743613009,0.11776000373376527,0.001652579968217651,0.001544360615188149,0.0017582316816225458,True,True,domain_balanced,25,20260855
02,random_forest,0.04687385665745036,0.1023804928174209,0.055506636159970535,0.0013230478707181282,0.0012839452598218035,0.0014106695038271224,True,True,domain_balanced,25,20260855
02,extra_trees,0.1514243516844499,0.1989438146032826,0.04751946291883269,0.001248376686180508,0.0012129191594341584,0.0014106695038271224,True,True,domain_balanced,25,20260855
01,random_forest,0.0022626505602071356,0.0908949061057337,0.08863225554552656,0.0017355929349873918,0.0016567111846107904,0.0017811684469025688,True,True,domain_balanced,26,20260856
01,extra_trees,0.0587906642841457,0.17068090984992046,0.11189024556577476,0.001685710033284066,0.0015823428533129676,0.0017811684469025688,True,True,domain_balanced,26,20260856
02,random_forest,0.03251113012188733,0.10197202284129803,0.0694608927194107,0.0013103387562064634,0.0012624248394431908,0.0013885718058922554,True,True,domain_balanced,26,20260856
02,extra_trees,0.1357453666085494,0.22020414531481824,0.08445877870626883,0.0012384584935092482,0.0011763892813093566,0.0013885718058922554,True,True,domain_balanced,26,20260856
01,random_forest,-0.0036381612931344343,0.0749293795402024,0.07856754083333684,0.0017423515843284407,0.0016727639320431346,0.0017827594874582796,False,True,domain_balanced,27,20260857
01,extra_trees,0.050931117437975515,0.17496930088912888,0.12403818345115336,0.0016943225020451499,0.0015797278182898844,0.0017827594874582796,True,True,domain_balanced,27,20260857
02,random_forest,0.007316779202861334,0.08745356560017481,0.08013678639731348,0.0013285240650318928,0.001273771628579422,0.0013897598057074864,True,True,domain_balanced,27,20260857
02,extra_trees,0.1356220315661778,0.2193385182198575,0.0837164866536797,0.001239698082811485,0.0011781360924931817,0.0013897598057074864,True,True,domain_balanced,27,20260857
01,random_forest,0.07261440118856066,0.2054356170684981,0.13282121587993745,0.0016298148031612225,0.0015085948856072048,0.0017371619395299054,True,True,domain_balanced,28,20260858
01,extra_trees,0.055542008477350135,0.20738384125477383,0.1518418327774237,0.0016447481522101845,0.0015067442584388421,0.0017371619395299054,True,True,domain_balanced,28,20260858
02,random_forest,0.08972221800964386,0.12315323320791816,0.033431015198274294,0.0013160825962373844,0.0012916891965876081,0.001433960782217489,True,True,domain_balanced,28,20260858
02,extra_trees,0.14741339419861677,0.18485022158090147,0.03743682738228471,0.001273694951924681,0.001245417265625512,0.001433960782217489,True,True,domain_balanced,28,20260858
01,random_forest,0.09516234248253685,0.18766165804681845,0.09249931556428159,0.0016208804972030154,0.001535798147786686,0.001748430864978802,True,True,domain_balanced,29,20260859
01,extra_trees,0.07412837301348185,0.20040737217985383,0.12627899916637197,0.0016396118601671728,0.0015237020576680492,0.001748430864978802,True,True,domain_balanced,29,20260859
02,random_forest,0.0750763867321752,0.09945562470509872,0.024379237972923518,0.0013168898843125847,0.0012994186242118178,0.0014242231320026133,True,True,domain_balanced,29,20260859
02,extra_trees,0.15621575541426547,0.19577924925411738,0.039563493839851915,0.0012578018640378857,0.0012279598452567795,0.0014242231320026133,True,True,domain_balanced,29,20260859
