organism,outcome,representation,estimator,test_sequence,r2,rmse,naive_rmse,beats_naive,fold_pass
Tribolium,future_speed,mask_ablation,naive_train_mean,02,-0.06850619481982201,0.0011707547901457704,0.0011707547901457704,False,False
Tribolium,future_speed,mask_ablation,ridge,02,-0.008548734112233447,0.0011374331082464407,0.0011707547901457704,True,False
Tribolium,future_speed,mask_ablation,random_forest,02,-0.19135440125680891,0.0012362260986175874,0.0011707547901457704,False,False
Tribolium,future_speed,mask_ablation,extra_trees,02,-0.10006154228838104,0.0011879164934482222,0.0011707547901457704,False,False
Tribolium,future_speed,full_primary,naive_train_mean,01,-0.11478436086564536,0.0009238392664411055,0.0009238392664411055,False,False
Tribolium,future_speed,full_primary,ridge,01,-2.5891811090820207,0.0016576722613590483,0.0009238392664411055,False,False
Tribolium,future_speed,full_primary,random_forest,01,-0.16627833383938917,0.0009449353310073622,0.0009238392664411055,False,False
Tribolium,future_speed,full_primary,extra_trees,01,-0.08730580184293979,0.0009123822682250398,0.0009238392664411055,True,False
Tribolium,future_speed,full_primary,naive_train_mean,02,-0.06850619481982201,0.0011707547901457704,0.0011707547901457704,False,False
Tribolium,future_speed,full_primary,ridge,02,-0.18893769375508707,0.0012349715963740784,0.0011707547901457704,False,False
Tribolium,future_speed,full_primary,random_forest,02,-0.0013010927017900187,0.0011333388236956295,0.0011707547901457704,True,False
Tribolium,future_speed,full_primary,extra_trees,02,-0.01405372122929105,0.0011405331237613937,0.0011707547901457704,True,False
