time_index,v1_cx,v1_cy,v1_sx,v1_sy,v1_covxy,v1_entropy,v1_occupancy,v1_edge,v2_cx,v2_cy,v2_sx,v2_sy,v2_covxy,v2_entropy,v2_occupancy,v2_edge,v3_cx,v3_cy,v3_sx,v3_sy,v3_covxy,v3_entropy,v3_occupancy,v3_edge,v4_cx,v4_cy,v4_sx,v4_sy,v4_covxy,v4_entropy,v4_occupancy,v4_edge,mean_cx,sd_cx,mean_cy,sd_cy,mean_sx,sd_sx,mean_sy,sd_sy,mean_covxy,sd_covxy,mean_entropy,sd_entropy,mean_occupancy,sd_occupancy,mean_edge,sd_edge
1,0.4023294580071375,0.542636625303394,0.17599010582796612,0.23252835675588462,-0.0025494962975183898,0.8598616031533051,0.21396422492387104,0.020860096265860772,0.41794991717440155,0.5377053179500808,0.18035928739865498,0.23101521556146762,0.0006160259427629229,0.8640992373546756,0.219320609356432,0.021378971358351553,0.41568900027392464,0.5360520247564023,0.17176276470670412,0.22607396977648087,0.0005638724690125332,0.8569317887861416,0.2262302152499257,0.021005695223309077,0.4240452222235699,0.5421984486428464,0.1794138131904735,0.23483540193024038,0.002716958724347026,0.8683845353840197,0.22757274147727272,0.022083092400658533,0.4150033994197584,0.007929933258794389,0.5396481041631809,0.0028346834452954877,0.17688149278094967,0.003372819660812366,0.23111323600601835,0.0032117323224331996,0.00033684020965102314,0.0018791880491971563,0.8623192911695354,0.004330727655935161,0.22177194775187536,0.005488509647816427,0.021331963812044982,0.00047315801778580673
2,0.39872894187193564,0.5467013737105083,0.17731440805987447,0.23166378462764523,-0.002367583892279859,0.8603924300539213,0.21415885495580808,0.02073762697752901,0.41930580273014173,0.5422470327692391,0.1814664440329771,0.23096632192778818,0.0008669470110957505,0.8655661440706174,0.22041405388907456,0.02107787070797979,0.4150781829824424,0.5395659767710332,0.1716181823845127,0.22618485994354817,0.0004427886872490239,0.8567611236315418,0.2345823250891266,0.021157571249682705,0.42313494977945526,0.5458901928626627,0.18043345314346979,0.2326577071088462,0.0025569929352809257,0.8675221126470394,0.22953350065452316,0.021988027171858784,0.41406196934099376,0.009299881507065096,0.5436011440283608,0.002870860530597746,0.17770812190520854,0.003833888024318723,0.23036816840195695,0.0024888986617211638,0.0003747861853364603,0.0017698493269758134,0.86256045260078,0.004242192531098548,0.2246721836471331,0.007913675752375731,0.02124027402676257,0.00045962033500294205
3,0.399360276622494,0.5455589262338525,0.17606159467000052,0.2305284733926624,-0.00206955336028404,0.8593085782522467,0.22056265587863935,0.020771654056162023,0.4163498983903797,0.5415281297329767,0.17884899838741866,0.2294685685914586,0.0009309795219027176,0.8621524205530777,0.22191928099933156,0.02080519585448947,0.41462959378176406,0.5381535684735704,0.17227370448099294,0.22600605920323685,0.0002479751778675914,0.8564692659252573,0.22843473542873588,0.02080296829803253,0.4218506211713277,0.5434578291901087,0.18145760562089455,0.2331926577944166,0.0024644236375834256,0.8673454072854495,0.226061386173314,0.021620918705188147,0.4130475974914914,0.008340321965725981,0.5421746134076271,0.0027242870422119494,0.17716047578982666,0.0034060426776533204,0.22979893974544358,0.0025760740209272654,0.00039345624426742365,0.0016328975986701873,0.8613189180040078,0.004017894061603597,0.22424451462000522,0.003155224550219267,0.021000184228468045,0.0003586265186261163
4,0.39883948903120797,0.5442390662236323,0.17468128432743624,0.22990713584908362,-0.0020998708603663548,0.8578866495157572,0.2180891962594697,0.0201597162148041,0.4155757179209814,0.537937926112618,0.17824387447674866,0.23042282724563587,0.0008396835069834369,0.8615304119026411,0.22196369241588682,0.020480808002913,0.4133465497168207,0.5354972790984198,0.17200921993862892,0.22677967084658435,0.00017490201590931358,0.8558099337691113,0.22748957794860364,0.020348331382089573,0.4218263378705151,0.5453943655573283,0.18033550958921307,0.23314147742561026,0.0025853685779564754,0.8672002441425943,0.22918115611538176,0.021503112339266266,0.41239702363488134,0.008422060446068032,0.5407671592479997,0.004160570069167641,0.17631747208300672,0.0032052222424860956,0.23006277784172852,0.002258929097630484,0.0003750208101207178,0.0016782941480172038,0.8606068098325259,0.004322490858920116,0.2241809056848355,0.004415166330963624,0.020622991984768232,0.0005207905070173654
5,0.40005389209076025,0.5409518257964191,0.17386880564705562,0.2298881927372034,-0.0021315467491574845,0.8580621398951985,0.22392905012904785,0.020116840047647196,0.41565045429654995,0.5373102706537075,0.17801791205502665,0.23125928601191223,0.0008959979233229367,0.8612723978184076,0.21934382146371809,0.019807941261818958,0.41389498770109556,0.5310276186077165,0.17202515818323363,0.22901287311029492,0.00019652634495174646,0.8559991446223528,0.22577942434454842,0.020006368541732156,0.4242890526674549,0.5426760567267261,0.18038465899089245,0.23404793947636612,0.0027024339234517133,0.867949354146119,0.227236963174948,0.021048411600202495,0.4134720966889652,0.008688769043347509,0.5379914429461423,0.004462855532108368,0.17607413371905206,0.0033021423778121116,0.2310520728339442,0.0019059844328339034,0.000415852860642228,0.0017317867312769976,0.8608207591205195,0.004524345006508481,0.2240723147780656,0.0029710434333477336,0.020244890362850203,0.0004769330241609483
6,0.39933564369736196,0.5425404652744863,0.1745749256400738,0.2277629223109187,-0.0020931543436646877,0.8574323718904996,0.22031476478943848,0.019655655221047556,0.41413128687960926,0.5345178048714752,0.17744335797875435,0.22947318275441064,0.000939860781823532,0.8602627303165331,0.22124461786987523,0.01972799834779327,0.4124332905348514,0.5309054058598205,0.1719893348037729,0.22928551068239278,0.0002510312973094868,0.8560054238070292,0.22404027838123883,0.019776036613316252,0.42365079729182337,0.5436763602306273,0.1794528085511677,0.23483551867868332,0.002701781191270955,0.8678186286702145,0.22865587130496137,0.020889692869444115,0.4123877546009115,0.00866394407911317,0.5379100090591022,0.005368040746535921,0.1758651067434422,0.0028305766475551354,0.23033928360660136,0.0026792879376465032,0.00044987973168482154,0.0017188444244188774,0.8603797886710691,0.004559944540051519,0.22356388308637848,0.003243881060826066,0.0200123457629003,0.000508345737334148
7,0.3985171278923585,0.5383084400437987,0.17319862203001066,0.22994017518717091,-0.00215433258572419,0.8574641159107693,0.22660757680202764,0.019197959829966048,0.41192907054993017,0.5343207645052517,0.17685397216361035,0.23036145463159902,0.000690393665044273,0.8592496493565452,0.21838145278613338,0.018991069807114673,0.4116712110593436,0.5320951119329997,0.17225347306543395,0.2283582762651176,7.92959189281281e-05,0.8568178723682349,0.22382682498236034,0.019009858519260174,0.42336429543308896,0.5418381843013411,0.18150702963111195,0.23414799462337293,0.0025505321978538937,0.8685953989278131,0.22656539113562088,0.020010159874146415,0.4113704262336803,0.008795776424042638,0.5366406251958478,0.0037362973472624887,0.17595327422254173,0.0036377222689211912,0.23070197517681512,0.002125104002201009,0.00029147229902552616,0.0016799903447116524,0.8605317591408407,0.004739975792653632,0.22384531142653558,0.0033497401622863176,0.019302262007621827,0.0004166349479329442
8,0.39892802364544394,0.5415474430774967,0.17316693374546885,0.22869405190981953,-0.002342033076322577,0.8575263774793732,0.22472343824272134,0.01895809915338828,0.4111552683476265,0.5353866334911904,0.17677692950199567,0.22919081821147033,0.0006545909639282693,0.8591333954659938,0.2210064694973633,0.018969612944136054,0.4127773457575551,0.5350644808452499,0.17346962712691147,0.2288539265210406,8.348691663502095e-05,0.858010722217986,0.2214123473707665,0.018890629315746074,0.4237544417789215,0.5456587683307554,0.1813770914767466,0.23355468773962668,0.0026290973589122545,0.8689412087102897,0.22704651782066992,0.01992651366989948,0.4116537698823868,0.008801730002704995,0.5394143314361731,0.004435276437386503,0.17619764546278066,0.003308682840798079,0.2300733710954893,0.0020179216818268226,0.0002562855407882419,0.0017727099406604611,0.8609029259684107,0.004677369716789697,0.22354719323288025,0.0024820187775825143,0.019186213770792472,0.00042847587664436424
9,0.4010868756963241,0.5390916423621115,0.17467854200570387,0.22788430302641308,-0.0022295633687365434,0.8589416740602968,0.22578551837306896,0.01879853386686319,0.41364677478965434,0.5401694828437604,0.17774758103420776,0.22964377300098376,0.001068166215965628,0.8604726820899085,0.21940411931818182,0.018499883548392555,0.41539663790598735,0.5395266785069494,0.17434968829858757,0.22988324417087141,0.0003944835943826806,0.8593584273254606,0.22208397084354575,0.018524294070209262,0.42632226658696404,0.5458631075941025,0.18183888612671217,0.23229249119614073,0.0027884229472337485,0.8705335297223904,0.22700639603758171,0.01951445568128409,0.41411313874473243,0.008952809574510967,0.541162727826731,0.0027407187894887995,0.17715367436630283,0.0030121650204000022,0.22992595284860226,0.0015692583633974016,0.0005053773472113784,0.0018042468419496647,0.8623265782995141,0.0047712283462146175,0.22357000114309455,0.0030116517020352053,0.018834291791687274,0.00040982587961359133
10,0.4032100433490698,0.5436504408209745,0.17655300192934603,0.22703189904539722,-0.002047050830795461,0.8604092506252013,0.22153922457572042,0.018219610790545036,0.4145038651714475,0.5435601094305578,0.17895911065279663,0.22815151784064397,0.0009263711810790565,0.8610681258027444,0.22108711896074718,0.017883333902521805,0.4172246046289243,0.5413369101446077,0.17560771485016435,0.22904088890245614,0.0004535012029914841,0.860327128198166,0.21978415650066846,0.01769694645985035,0.42848466524080747,0.5492868637848946,0.18211136544562367,0.23088889311050403,0.003189827517861236,0.8712815284071079,0.23129095135639482,0.019001734696111647,0.4158557945975623,0.008987557405070104,0.5444585810452586,0.0029375791602255616,0.17830779821948267,0.0025130206799144125,0.22877829972475033,0.0014112342452020862,0.0006306622677840789,0.0018599935497057149,0.863271508258305,0.004633497861403015,0.2234253628483827,0.004586686393946975,0.018200406462257207,0.0004991249159173319
