test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate
01,random_forest,0.062067853385054605,0.36789011724437026,0.30582226385931566,0.0018444025104490144,0.0015141408774676604,0.0019441659747699684,True,True,0.6,0
01,extra_trees,0.007171762501613443,0.36655115258271076,0.3593793900810973,0.0018976104112473254,0.001515743691072733,0.0019441659747699684,True,True,0.6,0
02,random_forest,0.006137275423468425,0.22722707668437303,0.2210898012609046,0.0015808512132384363,0.0013939710165803063,0.0016332077066566078,True,True,0.6,0
02,extra_trees,0.034897703819464,0.2630717538872108,0.22817405006774683,0.0015578099380921678,0.0013612578500012337,0.0016332077066566078,True,True,0.6,0
01,random_forest,0.1222846811888667,0.33261590421081644,0.21033122302194973,0.0017948413136039797,0.0015650821739325068,0.0019576280051974908,True,True,0.6,1
01,extra_trees,0.05893303062984745,0.33715494552600034,0.2782219148961529,0.0018584868118983534,0.0015597508415661375,0.0019576280051974908,True,True,0.6,1
02,random_forest,0.04633821244736658,0.2436232477804805,0.19728503533311392,0.0015232442505595768,0.0013565676086056536,0.0016109153999277874,True,True,0.6,1
02,extra_trees,0.08580946411431978,0.27760260383784685,0.19179313972352707,0.0014913882510980728,0.0013257463586732997,0.0016109153999277874,True,True,0.6,1
01,random_forest,-0.03288236327153782,-0.0064387167560306935,0.026443646515507124,0.0016015779669529852,0.0015809434016596513,0.0016216237094244313,False,False,0.6,2
01,extra_trees,0.09924537403879596,0.08155970734385076,-0.0176856666949452,0.001495635983312066,0.0015102474767247152,0.0016216237094244313,True,True,0.6,2
02,random_forest,-0.004024756340568203,0.03394247687820273,0.037967233218770935,0.0015042081731231668,0.001475493249297662,0.0015491428029248257,False,True,0.6,2
02,extra_trees,0.15370769482523505,0.1862852711634938,0.03257757633825875,0.0013810071575134743,0.0013541657396257136,0.0015491428029248257,True,True,0.6,2
01,random_forest,0.0653878727770919,0.2888923136726964,0.2235044408956045,0.0017377722533136004,0.001515810248778141,0.0018385584274702672,True,True,0.6,3
01,extra_trees,0.010653667400194466,0.31917973524824705,0.3085260678480526,0.0017879333561329437,0.0014831783919293982,0.0018385584274702672,True,True,0.6,3
02,random_forest,0.0896617078766998,0.18565392348939713,0.09599221561269733,0.001553230115717497,0.001469057859889393,0.00167311323259386,True,True,0.6,3
02,extra_trees,0.07314277342677533,0.16304690170197478,0.08990412827519945,0.0015672591613935408,0.0014893094927569974,0.00167311323259386,True,True,0.6,3
01,random_forest,0.12147835433186926,0.10474559948339257,-0.016732754848476694,0.0015350966623806713,0.001549646809443768,0.0016845989021613908,True,True,0.6,4
01,extra_trees,0.09769177526701256,0.23998511900941433,0.14229334374240177,0.001555739764157293,0.001427810403757773,0.0016845989021613908,True,True,0.6,4
02,random_forest,0.12473907054011946,0.17094872683296225,0.04620965629284279,0.0015388920237370666,0.001497718080619408,0.0016915070353534958,True,True,0.6,4
02,extra_trees,0.17495263289401886,0.20684115942854753,0.03188852653452867,0.0014940970860382007,0.001464938733346367,0.0016915070353534958,True,True,0.6,4
