test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate
01,random_forest,-0.01567432764626231,0.28906674816556166,0.30474107581182397,0.0019575323174411715,0.0016377443762645124,0.0019828989582544886,False,True,0.6,15
01,extra_trees,-0.001729903897174534,0.31935867124915307,0.3210885751463276,0.0019440481726587292,0.001602473517371587,0.0019828989582544886,False,True,0.6,15
02,random_forest,-0.055901474581017796,0.27379107520091217,0.32969254978192997,0.001561894730066609,0.0012953014519291798,0.0015714496604184766,False,True,0.6,15
02,extra_trees,0.029497059027767447,0.3366796633270389,0.30718260429927147,0.0014974022772941253,0.001237946047709944,0.0015714496604184766,True,True,0.6,15
01,random_forest,0.02904602445328186,0.26188038401041525,0.23283435955713339,0.0018701749291325333,0.001630595660230171,0.0019370293440863255,True,True,0.6,16
01,extra_trees,0.018195217025581023,0.28296800951867596,0.26477279249309493,0.0018805958799389083,0.0016071343171009686,0.0019370293440863255,True,True,0.6,16
02,random_forest,-0.04115382691443803,0.21098726756207697,0.252141094476515,0.0015334287533729043,0.0013348982335202476,0.0015518887842525058,False,True,0.6,16
02,extra_trees,0.051942223980927515,0.2957002301368844,0.24375800615595689,0.001463266920961346,0.0012612027987375042,0.0015518887842525058,True,True,0.6,16
01,random_forest,0.19693522049330547,0.1792608672733521,-0.017674353219953365,0.001436914483627507,0.0014526406840086464,0.0016488961145485583,True,True,0.6,17
01,extra_trees,0.14182370604767247,0.30347876179548594,0.16165505574781347,0.0014854016072619468,0.001338205512173374,0.0016488961145485583,True,True,0.6,17
02,random_forest,0.16099512224463453,0.19113022789148004,0.030135105646845517,0.0014953573098613843,0.0014682568583616843,0.0016771933103597952,True,True,0.6,17
02,extra_trees,0.20742189922703524,0.23272239988027077,0.025300500653235525,0.001453395360186652,0.0014300097382953056,0.0016771933103597952,True,True,0.6,17
01,random_forest,-0.13482907393699683,-0.0010095495976656377,0.1338195243393312,0.002063305848547868,0.0019378381103078162,0.0019765544108302,False,False,0.6,18
01,extra_trees,-0.054851191488177076,0.11726112449459536,0.17211231598277243,0.0019892711363849974,0.0018197616522720465,0.0019765544108302,False,True,0.6,18
02,random_forest,-0.04871847210770275,0.11896659891794148,0.16768507102564423,0.0014955374768331376,0.0013707682237941638,0.0015126358105308517,False,True,0.6,18
02,extra_trees,0.030602928477624025,0.19514585064666523,0.1645429221690412,0.0014378669235226736,0.00131016633319571,0.0015126358105308517,True,True,0.6,18
01,random_forest,0.055342295013373066,0.07790580593167207,0.022563510918299,0.0017081273925658503,0.001687604464068163,0.0018075998277122679,True,True,0.6,19
01,extra_trees,0.10850708267084175,0.14312928346254883,0.03462220079170708,0.0016593651711932723,0.0016268243803248996,0.0018075998277122679,True,True,0.6,19
02,random_forest,0.09221889961887808,0.12443380870298681,0.032214909084108734,0.0014214052488666726,0.001395956349030377,0.0015506207982521653,True,True,0.6,19
02,extra_trees,0.18079050657696538,0.218317403068372,0.037526896491406614,0.0013502831082132002,0.001318993234891815,0.0015506207982521653,True,True,0.6,19
