test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate
01,random_forest,0.03340967165713504,0.32261593251237364,0.2892062608552386,0.0019471390716758244,0.001630021142819472,0.00201392432679846,True,True,0.6,5
01,extra_trees,0.01622714017095328,0.32768363010422763,0.31145648993327435,0.0019643694323076173,0.001623912376488477,0.00201392432679846,True,True,0.6,5
02,random_forest,-0.02088761022505281,0.2754244572554603,0.2963120674805131,0.0015044386287822128,0.001267439812390386,0.00153314116667475,False,True,0.6,5
02,extra_trees,0.042600501168868044,0.33745045792592454,0.2948499567570565,0.0014569079307548355,0.0012119778662096905,0.00153314116667475,True,True,0.6,5
01,random_forest,-0.04143688311032534,0.01525105063810206,0.0566879337484274,0.0016911035466856492,0.0016444341463025286,0.0017027071198998896,False,True,0.6,6
01,extra_trees,0.03682291844455576,0.07855453936720036,0.0417316209226446,0.001626322959793882,0.0015907009506108722,0.0017027071198998896,True,True,0.6,6
02,random_forest,0.024623032335462258,0.09317033948156728,0.06854730714610502,0.0014699306380312957,0.0014173380693783622,0.0015389638983228258,True,True,0.6,6
02,extra_trees,0.12908725295197643,0.1735971202519515,0.04450986729997508,0.0013889861574602925,0.0013530271304015267,0.0015389638983228258,True,True,0.6,6
01,random_forest,-0.05710884374660474,0.12274523324913367,0.1798540769957384,0.001956442161650949,0.0017822557669561442,0.0019434560994711363,False,True,0.6,7
01,extra_trees,-0.022905152868696987,0.16239823028496403,0.18530338315366102,0.0019245307006884476,0.0017415099232011666,0.0019434560994711363,False,True,0.6,7
02,random_forest,-0.04808653567707655,0.16804072464914832,0.21612726032622487,0.0015240676774360361,0.0013578653798908102,0.0015402442506158385,False,True,0.6,7
02,extra_trees,0.03872604730543938,0.23266004840547727,0.1939340011000379,0.001459584588189522,0.001304066044701225,0.0015402442506158385,True,True,0.6,7
01,random_forest,0.15156952912564303,0.15610546737593634,0.004535938250293303,0.001479475226630243,0.001475515089644086,0.0016513379779483917,True,True,0.6,8
01,extra_trees,0.1490848555121167,0.22250886188414487,0.07342400637202817,0.0014816400036906366,0.0014162740326938063,0.0016513379779483917,True,True,0.6,8
02,random_forest,0.1552102943956135,0.21269497255618486,0.057484678160571345,0.0014441919615614167,0.0013941905323263356,0.001617382584438776,True,True,0.6,8
02,extra_trees,0.23052938482555718,0.2831358610889202,0.05260647626336301,0.001378309141562261,0.0013303595897832875,0.001617382584438776,True,True,0.6,8
01,random_forest,-0.05047290489527545,0.14169316136253052,0.19216606625780597,0.001966541965501072,0.0017775919607233937,0.0019574979900513195,False,True,0.6,9
01,extra_trees,-0.03985550885391964,0.1712657449918119,0.21112125384573155,0.001956578556716138,0.0017467004666154094,0.0019574979900513195,False,True,0.6,9
02,random_forest,-0.05143629214206569,0.19355655872740096,0.24499285086946665,0.0015165160563364837,0.0013281358151112626,0.0015289340551380654,False,True,0.6,9
02,extra_trees,0.04208854156749198,0.25808440716526715,0.21599586559777517,0.0014474988097282727,0.0012738924993818828,0.0015289340551380654,True,True,0.6,9
