test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate
01,random_forest,0.017366948842774343,0.2073506992294114,0.18998375038663706,0.0018283724525003583,0.0016421375267960054,0.0018815900711103327,True,True,0.45,5
01,extra_trees,0.04057938363237801,0.23985662581872558,0.19927724218634757,0.0018066478506067146,0.0016081136658464227,0.0018815900711103327,True,True,0.45,5
02,random_forest,0.010271841097761802,0.1541384565851598,0.143866615487398,0.00139074624777059,0.0012856997925101256,0.0014465826530047445,True,True,0.45,5
02,extra_trees,0.10100886086727168,0.25474839395698645,0.15373953308971477,0.0013254630920152561,0.0012068169294071074,0.0014465826530047445,True,True,0.45,5
01,random_forest,-0.01854417981081924,-0.006320250192185295,0.012223929618633944,0.0016089678873380075,0.001599283831470319,0.0016416097389666613,False,False,0.45,6
01,extra_trees,0.0723686728881805,0.0777162934804988,0.005347620592318303,0.0015354834646747612,0.0015310511805492217,0.0016416097389666613,True,True,0.45,6
02,random_forest,0.08374223621976196,0.09234473755132655,0.008602501331564594,0.0013340612468232967,0.0013277839042429192,0.0014476243040034528,True,True,0.45,6
02,extra_trees,0.16994996145462116,0.18806690637466572,0.018116944920044564,0.0012697524859100256,0.0012558190198408308,0.0014476243040034528,True,True,0.45,6
01,random_forest,-0.08096237917226401,0.05023675610145384,0.13119913527371785,0.00186848351729295,0.001751425467563665,0.001839893356006223,False,True,0.45,7
01,extra_trees,-0.010595724299665044,0.13637178465248034,0.1469675089521454,0.001806644526431369,0.00167011890736732,0.001839893356006223,False,True,0.45,7
02,random_forest,-0.030425435142179547,0.08546434391445723,0.11588977905663678,0.0014094094005109668,0.001327789408121963,0.001443345369922682,False,True,0.45,7
02,extra_trees,0.06707884461355273,0.19066466467196141,0.12358582005840868,0.001341069697513364,0.001249088269071752,0.001443345369922682,True,True,0.45,7
01,random_forest,0.14857210845411262,0.1320114445684556,-0.016560663885657023,0.0014427305002458768,0.0014566938147361128,0.0016103761743920246,True,True,0.45,8
01,extra_trees,0.14062472688463912,0.16330052817067364,0.022675801286034525,0.0014494482139751923,0.001430197531451498,0.0016103761743920246,True,True,0.45,8
02,random_forest,0.15828982858910023,0.16868711468406683,0.010397286094966596,0.0013356208873257624,0.0013273460770585825,0.001505982737439637,True,True,0.45,8
02,extra_trees,0.24823606219638994,0.25965722213638065,0.01142115993999071,0.0012622420932251093,0.0012526171014229056,0.001505982737439637,True,True,0.45,8
01,random_forest,-0.07714664965905471,0.04257660450868228,0.11972325416773699,0.001875188030118806,0.0017679070287339987,0.001848131220745845,False,True,0.45,9
01,extra_trees,-0.011716842542789818,0.1414173314466517,0.1531341739894415,0.0018173429669607263,0.0016741657904150763,0.001848131220745845,False,True,0.45,9
02,random_forest,-0.037524298678573986,0.09368742024492116,0.13121171892349515,0.0014081743150415125,0.0013161224107984927,0.0014360849865960744,False,True,0.45,9
02,extra_trees,0.07338782400212573,0.20794683702052352,0.1345590130183978,0.001330780049846166,0.001230366354859702,0.0014360849865960744,True,True,0.45,9
