test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate,direction_seed
01,random_forest,0.0540268280181303,0.25577467299424594,0.20174784497611564,0.001739891835270592,0.0015432456552683387,0.0018312735183867376,True,True,0.6,5,20260835
01,extra_trees,0.07666624255464027,0.3020926351317491,0.22542639257710884,0.0017189458550425688,0.001494451175089095,0.0018312735183867376,True,True,0.6,5,20260835
02,random_forest,0.028974376700395155,0.19840479258775323,0.16943041588735808,0.0014761932678617998,0.0013412367088705566,0.001548424034614244,True,True,0.6,5,20260835
02,extra_trees,0.1550652799534129,0.2997877561535358,0.1447224762001229,0.0013770174809677005,0.0012535530721959776,0.001548424034614244,True,True,0.6,5,20260835
01,random_forest,0.03149034744873935,0.0740871621549779,0.04259681470623855,0.001820613620643125,0.001780126492759683,0.0018909927903078213,True,True,0.6,6,20260836
01,extra_trees,0.025460234248529057,0.11861201681949429,0.09315178257096524,0.0018262725578859257,0.0017367982519118901,0.0018909927903078213,True,True,0.6,6,20260836
02,random_forest,0.09686431740187662,0.269642094920598,0.17277777751872136,0.001524592364961063,0.0013710241568059103,0.001651401403909758,True,True,0.6,6,20260836
02,extra_trees,0.16523041945736383,0.26814447278231834,0.10291405332495451,0.001465752174596975,0.0013724291012967187,0.001651401403909758,True,True,0.6,6,20260836
01,random_forest,0.09840478761659721,0.09786056570309065,-0.0005442219135065596,0.0016517100278986964,0.0016522084562245395,0.001783075167373295,True,True,0.6,7,20260837
01,extra_trees,0.09228373168124304,0.17937547534897658,0.08709174366773353,0.0016573073887926229,0.00157579694069688,0.001783075167373295,True,True,0.6,7,20260837
02,random_forest,0.18738749160187507,0.29051351751375776,0.10312602591188269,0.001410584847108803,0.001318042837505142,0.0016130810699613398,True,True,0.6,7,20260837
02,extra_trees,0.2152141618395318,0.3079298623800317,0.09271570054049993,0.0013862228118992099,0.001301764781427777,0.0016130810699613398,True,True,0.6,7,20260837
01,random_forest,0.04046660761880816,0.2642389551276423,0.22377234750883412,0.001821769726364176,0.0015952612992020053,0.0019005941954068704,True,True,0.6,8,20260838
01,extra_trees,0.05639542539428133,0.3038830001856727,0.24748757479139138,0.001806585221087722,0.0015516885453882069,0.0019005941954068704,True,True,0.6,8,20260838
02,random_forest,0.05542323267104887,0.31601303933921787,0.260589806668169,0.0015237181115028936,0.001296611625725202,0.001615979916565428,True,True,0.6,8,20260838
02,extra_trees,0.12454014379169431,0.3323457078632077,0.2078055640715134,0.0014669121923538081,0.0012810374396887807,0.001615979916565428,True,True,0.6,8,20260838
01,random_forest,0.025445102546453713,0.2789081153165127,0.253463012770059,0.0018136420693018833,0.0015600687264977168,0.0018784638245539196,True,True,0.6,9,20260839
01,extra_trees,0.057600585367525214,0.32959608909009663,0.2719955037225714,0.0017834705027719164,0.001504238488249518,0.0018784638245539196,True,True,0.6,9,20260839
02,random_forest,0.078408569808331,0.3105515844073298,0.23214301459899878,0.0014899330857637931,0.0012886899434473302,0.001600692259545302,True,True,0.6,9,20260839
02,extra_trees,0.1529010837820124,0.366877677305833,0.2139765935238206,0.001428448586157935,0.0012349272206231556,0.001600692259545302,True,True,0.6,9,20260839
