test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate,direction_seed
01,random_forest,0.10670948297023797,0.08021626048352526,-0.02649322248671271,0.001503346533092001,0.0015254767832862514,0.0016381318236076176,True,True,0.15,10,20260840
01,extra_trees,0.11698563845285681,0.11846058069966414,0.0014749422468073314,0.001494674489145567,0.0014934256533335071,0.0016381318236076176,True,True,0.15,10,20260840
02,random_forest,0.0765865470652709,0.07138764739820713,-0.005198899667063772,0.001240138490601415,0.0012436246355269959,0.0013486827777566695,True,True,0.15,10,20260840
02,extra_trees,0.21359126349466862,0.19605856226296092,-0.017532701231707692,0.0011444484970919747,0.0011571357074471008,0.0013486827777566695,True,True,0.15,10,20260840
01,random_forest,0.027424098236067507,0.030071302859757232,0.002647204623689725,0.001583898596476333,0.0015817415613891626,0.0016531550220522527,True,True,0.15,11,20260841
01,extra_trees,0.09962215298540777,0.11638640239500397,0.0167642494095962,0.0015239756299933768,0.0015097214201639211,0.0016531550220522527,True,True,0.15,11,20260841
02,random_forest,0.12648121064306184,0.12238756609678847,-0.004093644546273367,0.0012204182757701027,0.0012232746076026773,0.0013632786018336527,True,True,0.15,11,20260841
02,extra_trees,0.21952917123022686,0.2058568027804908,-0.013672368449736072,0.0011535884913355197,0.0011636489635950278,0.0013632786018336527,True,True,0.15,11,20260841
01,random_forest,0.07374681269774197,0.07646831082397065,0.002721498126228683,0.0015532052163368926,0.0015509217399245826,0.0016607132840154419,True,True,0.15,12,20260842
01,extra_trees,0.09600125685107408,0.1168207950152228,0.02081953816414872,0.0015344328800265916,0.001516660583722204,0.0016607132840154419,True,True,0.15,12,20260842
02,random_forest,0.11774213467397154,0.11172457311917572,-0.006017561554795825,0.0012346712974280263,0.0012388747650329283,0.001371605442094312,True,True,0.15,12,20260842
02,extra_trees,0.23076857256694516,0.21757707298119966,-0.013191499585745503,0.0011528746569556068,0.0011627179221207953,0.001371605442094312,True,True,0.15,12,20260842
01,random_forest,0.045857009291424,0.05002241008965935,0.0041654007982353525,0.0015671002953990666,0.0015636758921954476,0.0016514474116640753,True,True,0.15,13,20260843
01,extra_trees,0.10820120214158535,0.12054019493235102,0.012338992790765668,0.0015150379154059027,0.001504520320945093,0.0016514474116640753,True,True,0.15,13,20260843
02,random_forest,0.10359749116164552,0.09824823587353482,-0.005349255288110699,0.0012245157621206858,0.001228163958270775,0.0013513609523475149,True,True,0.15,13,20260843
02,extra_trees,0.21641605903788685,0.2164343304714036,1.8271433516736657e-05,0.0011448685137155725,0.0011448551657449312,0.0013513609523475149,True,True,0.15,13,20260843
01,random_forest,0.09451624953456761,0.1281366786465773,0.03362042911200969,0.0015067195399212751,0.0014784828587417309,0.001631140488848187,True,True,0.15,14,20260844
01,extra_trees,0.08739718325743029,0.13334455388961142,0.04594737063218113,0.001512630985307031,0.0014740605561076297,0.001631140488848187,True,True,0.15,14,20260844
02,random_forest,0.1519117223897094,0.13630323708295877,-0.01560848530675063,0.0012078159769304054,0.0012188798173317094,0.0013687855455912464,True,True,0.15,14,20260844
02,extra_trees,0.24139781283534367,0.23873397074292424,-0.002663842092419433,0.0011423186969911016,0.0011443225733398109,0.0013687855455912464,True,True,0.15,14,20260844
