test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate,direction_seed
01,random_forest,0.12928305160065168,0.1334476189457502,0.004164567345098513,0.0016666415832705072,0.0016626511014031166,0.0018285431370976366,True,True,0.6,10,20260840
01,extra_trees,0.12087857875313635,0.13651880837538566,0.015640229622249313,0.0016746657783731104,0.0016597021458526187,0.0018285431370976366,True,True,0.6,10,20260840
02,random_forest,0.09720489776469765,0.12375118168522303,0.026546283920525382,0.0014370375065531885,0.001415752146708695,0.001562329281871852,True,True,0.6,10,20260840
02,extra_trees,0.1282159545483491,0.16306873308269032,0.03485277853434121,0.0014121406814973877,0.001383625007019123,0.001562329281871852,True,True,0.6,10,20260840
01,random_forest,0.021801262848807346,0.2760234201190013,0.2542221572701939,0.0018204518682617985,0.001566130367454066,0.001881848194172189,True,True,0.6,11,20260841
01,extra_trees,0.07021289513394935,0.31853158701349993,0.24831869187955058,0.0017748326578269822,0.0015194573604090627,0.001881848194172189,True,True,0.6,11,20260841
02,random_forest,0.08247094327671456,0.32211098424924967,0.2396400409725351,0.001498017014388681,0.0012876153079769458,0.0016122053311518687,True,True,0.6,11,20260841
02,extra_trees,0.15554824921055765,0.3724427330990139,0.21689448388845622,0.0014371240358965912,0.0012388921874448477,0.0016122053311518687,True,True,0.6,11,20260841
01,random_forest,0.03538230952614796,0.13646964171564335,0.1010873321894954,0.0018343056300594174,0.0017355330682937674,0.001908282202658769,True,True,0.6,12,20260842
01,extra_trees,0.05625331479068918,0.15770436067524785,0.10145104588455867,0.0018143530849769605,0.0017140613571556458,0.001908282202658769,True,True,0.6,12,20260842
02,random_forest,0.05405440203074008,0.2981720509876631,0.244117648956923,0.0015491038850992862,0.001334328592893848,0.0016402127301223357,True,True,0.6,12,20260842
02,extra_trees,0.1424218226759283,0.2994386097915739,0.1570167871156456,0.0014749738591190828,0.0013331240464035253,0.0016402127301223357,True,True,0.6,12,20260842
01,random_forest,0.042085729370132885,0.26632645648666564,0.22424072711653276,0.0017954668493877072,0.001571323112606659,0.0018758413398074713,True,True,0.6,13,20260843
01,extra_trees,0.07451562190884498,0.3161916462325305,0.2416760243236855,0.0017648126801354147,0.0015169849436005964,0.0018758413398074713,True,True,0.6,13,20260843
02,random_forest,0.06689131005585824,0.30453151228093067,0.23764020222507243,0.0014701723765438788,0.0012692315810274711,0.0015715589518191045,True,True,0.6,13,20260843
02,extra_trees,0.1610170419829623,0.3588152638057436,0.19779822182278128,0.0013940511564803453,0.0012186913510739657,0.0015715589518191045,True,True,0.6,13,20260843
01,random_forest,0.0847997749518501,0.0697638801059478,-0.015035894845902287,0.001684021351702496,0.0016977984540755553,0.0018033700939081806,True,True,0.6,14,20260844
01,extra_trees,0.0688607701751548,0.17578300569045124,0.10692223551529645,0.0016986223990102921,0.0015981234234448223,0.0018033700939081806,True,True,0.6,14,20260844
02,random_forest,0.184061871391499,0.31907492614782695,0.13501305475632797,0.001429927361222484,0.0013062762342597393,0.0016307628043963158,True,True,0.6,14,20260844
02,extra_trees,0.21732413514691173,0.31536332214977414,0.0980391870028624,0.0014004781363378504,0.0013098315381442234,0.0016307628043963158,True,True,0.6,14,20260844
