test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate,direction_seed
01,random_forest,0.018655632831652058,0.12024808900105632,0.10159245616940427,0.0016926457898820987,0.001602638154027386,0.001752986643793948,True,True,0.45,15,20260845
01,extra_trees,0.03190651291304514,0.15376993921679338,0.12186342630374825,0.0016811792362953896,0.0015718083542239961,0.001752986643793948,True,True,0.45,15,20260845
02,random_forest,0.15264568122510325,0.2227228989191572,0.07007721769405395,0.0013687087631942246,0.0013108906350498071,0.0015376233773250205,True,True,0.45,15,20260845
02,extra_trees,0.2140493096807654,0.25489655734550576,0.04084724766474035,0.0013181844193383314,0.0012834732133904557,0.0015376233773250205,True,True,0.45,15,20260845
01,random_forest,0.03869186427768356,0.1557118049641969,0.11701994068651334,0.0016489326929809015,0.0015453148508450855,0.001726807083220342,True,True,0.45,16,20260846
01,extra_trees,0.08512392088394394,0.2019159590665145,0.11679203818257056,0.0016086173777435412,0.0015024358333254736,0.001726807083220342,True,True,0.45,16,20260846
02,random_forest,0.0620185970720174,0.14396708580305428,0.08194848873103688,0.0013778389207803896,0.0013162747981729395,0.0014756051187637766,True,True,0.45,16,20260846
02,extra_trees,0.18052373873189032,0.2562402340722493,0.07571649534035896,0.0012878625758698688,0.0012269240375668007,0.0014756051187637766,True,True,0.45,16,20260846
01,random_forest,0.11187865501940808,0.08192715350985669,-0.029951501509551393,0.0015549911083007379,0.0015809943843325895,0.001695890604698126,True,True,0.45,17,20260847
01,extra_trees,0.16348142891372908,0.11766989503631631,-0.04581153387741277,0.0015091400666742225,0.001549912942309165,0.001695890604698126,True,True,0.45,17,20260847
02,random_forest,0.0336286712740238,0.05245194435611378,0.018823273082089975,0.0013392666126673738,0.0013261591508979451,0.0014175678500299325,True,True,0.45,17,20260847
02,extra_trees,0.16305744248464527,0.18679564753339795,0.02373820504875268,0.001246358126991625,0.0012285557565844777,0.0014175678500299325,True,True,0.45,17,20260847
01,random_forest,0.08428905770724238,0.09791493068669488,0.013625872979452502,0.0015872363821357112,0.0015753830017027981,0.0017043074267861355,True,True,0.45,18,20260848
01,extra_trees,0.1396298999098785,0.1773503751076495,0.037720475197771,0.0015385267881046377,0.0015044226375810809,0.0017043074267861355,True,True,0.45,18,20260848
02,random_forest,-0.00884573739420258,0.007769930755759602,0.01661566814996218,0.0013653660159698244,0.0013540755597341878,0.0014146821232106403,False,True,0.45,18,20260848
02,extra_trees,0.1455310975981149,0.16566397280221046,0.02013287520409557,0.001256564650868866,0.0012416729095814343,0.0014146821232106403,True,True,0.45,18,20260848
01,random_forest,0.11489009018206109,0.08928059580642378,-0.02560949437563731,0.001537802911572009,0.0015598914304632142,0.001680847490307922,True,True,0.45,19,20260849
01,extra_trees,0.16467697318444074,0.13449420778963628,-0.030182765394804467,0.0014939267508260682,0.0015206773123232953,0.001680847490307922,True,True,0.45,19,20260849
02,random_forest,0.08607448081542468,0.1033422688780985,0.017267788062673817,0.0013130644460066232,0.0013006007157713925,0.0014282739299919269,True,True,0.45,19,20260849
02,extra_trees,0.20175787708423398,0.21619827294102267,0.01444039585678869,0.0012271508733084468,0.0012160004846468197,0.0014282739299919269,True,True,0.45,19,20260849
