test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate,direction_seed
01,random_forest,0.015005345133573322,0.13222174789866403,0.11721640276509071,0.0017837673119477035,0.0016742705767493608,0.0018394957333562319,True,True,0.6,0,20260830
01,extra_trees,0.026076609532072914,0.18722804778355773,0.1611514382514848,0.0017737142793809394,0.001620338004324966,0.0018394957333562319,True,True,0.6,0,20260830
02,random_forest,0.1454204984115548,0.30927098571216516,0.16385048730061036,0.0014849753158066661,0.0013350479014354421,0.0016534330492138337,True,True,0.6,0,20260830
02,extra_trees,0.18222115618842794,0.3182115024371355,0.13599034624870754,0.001452649819338455,0.0013263796005562722,0.0016534330492138337,True,True,0.6,0,20260830
01,random_forest,0.10207677520824077,0.10427849177944426,0.0022017165712034936,0.0016463146499142943,0.0016442950212670455,0.001780986900206451,True,True,0.6,1,20260831
01,extra_trees,0.15551840367512637,0.12019383221588431,-0.03532457145924206,0.0015965713627891516,0.0016296214841719997,0.001780986900206451,True,True,0.6,1,20260831
02,random_forest,0.08143471560826465,0.12496331683683826,0.043528601228573605,0.0014152111592273624,0.0013812724837628954,0.0015276872590529755,True,True,0.6,1,20260831
02,extra_trees,0.14092458318356316,0.18732659249840333,0.046402009314840176,0.001368616829779533,0.0013311415967206535,0.0015276872590529755,True,True,0.6,1,20260831
01,random_forest,0.08509559600667427,0.11796343781514618,0.03286784180847191,0.0016446718101194233,0.0016148592797056854,0.001763513631623226,True,True,0.6,2,20260832
01,extra_trees,0.12509455845339634,0.16967150204443315,0.04457694359103681,0.0016083180958421865,0.0015668100963403132,0.001763513631623226,True,True,0.6,2,20260832
02,random_forest,-0.022450594797224666,0.01297944115316707,0.035430035950391736,0.0014807609251423458,0.0014548790126302238,0.001515900540878314,False,True,0.6,2,20260832
02,extra_trees,0.1232299530829819,0.1514711959102787,0.028241242827296786,0.001371218398808926,0.0013489537952064816,0.001515900540878314,True,True,0.6,2,20260832
01,random_forest,0.06761134443192784,0.04990676261532534,-0.017704581816602505,0.0016985214750430734,0.0017145717554920494,0.0018021164346930791,True,True,0.6,3,20260833
01,extra_trees,0.06384931084874113,0.15075104807986006,0.08690173723111894,0.001701944651752668,0.0016210263020588502,0.0018021164346930791,True,True,0.6,3,20260833
02,random_forest,0.18271691498504328,0.2687414798790827,0.08602456489403942,0.0014324542297735195,0.0013549709008327862,0.0016322111769763836,True,True,0.6,3,20260833
02,extra_trees,0.22698780904169646,0.2863393519278784,0.05935154288618194,0.0013931172518721995,0.001338567800800763,0.0016322111769763836,True,True,0.6,3,20260833
01,random_forest,0.06967463946344443,0.2133673416950843,0.14369270223163988,0.0017239278856665172,0.0015852130947498675,0.0018297404774797752,True,True,0.6,4,20260834
01,extra_trees,0.09997162028292583,0.24883009847634685,0.14885847819342102,0.0016956248265327415,0.0015490689672269372,0.0018297404774797752,True,True,0.6,4,20260834
02,random_forest,0.023790232071132178,0.1170742058254487,0.09328397375431652,0.001454618517020174,0.0013833740975871867,0.0015234588539230541,True,True,0.6,4,20260834
02,extra_trees,0.12290464434387594,0.22450423093403726,0.10159958659016133,0.0013787989468005853,0.001296484275264855,0.0015234588539230541,True,True,0.6,4,20260834
