test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,scale,replicate,direction_seed
01,random_forest,0.11986702051003673,0.09986230450556832,-0.020004716004468404,0.0015928385339150299,0.0016108387962549399,0.0017424462359848267,True,True,0.45,10,20260840
01,extra_trees,0.12981336827537449,0.11678101095317828,-0.013032357322196209,0.0015838126587642937,0.001595628574609795,0.0017424462359848267,True,True,0.45,10,20260840
02,random_forest,0.09615333358422684,0.08983754894861795,-0.00631578463560889,0.0013420478434798837,0.0013467285763662717,0.001464972307011205,True,True,0.45,10,20260840
02,extra_trees,0.15434005508412674,0.1622909345574236,0.007950879473296868,0.0012981309321312587,0.0012920140186524318,0.001464972307011205,True,True,0.45,10,20260840
01,random_forest,0.014168662819237121,0.16980527418433933,0.1556366113651022,0.0017286016050392142,0.0015862936557588124,0.0017845043714038323,True,True,0.45,11,20260841
01,extra_trees,0.07020392421565858,0.2321010239836253,0.16189709976796673,0.0016787555318339997,0.0015256174465628136,0.0017845043714038323,True,True,0.45,11,20260841
02,random_forest,0.09320129771757346,0.22513112795453993,0.13192983023696647,0.0013837113906000143,0.0012790990561435981,0.0015049564093055818,True,True,0.45,11,20260841
02,extra_trees,0.17185107109233044,0.3058581889629176,0.13400711787058717,0.0013223435259636343,0.0012106376424411765,0.0015049564093055818,True,True,0.45,11,20260841
01,random_forest,0.016564110662638742,0.11587494512576091,0.09931083446312217,0.001747769862305238,0.0016571738389863976,0.0018054354338678778,True,True,0.45,12,20260842
01,extra_trees,0.06105022954415573,0.1454740037698815,0.08442377422572578,0.0017077818738697014,0.0016291979663275488,0.0018054354338678778,True,True,0.45,12,20260842
02,random_forest,0.06507861265755388,0.1922578991606375,0.12717928650308363,0.0014275536763455133,0.0013269093647921264,0.001527485718953076,True,True,0.45,12,20260842
02,extra_trees,0.15786908858391857,0.2509677467553185,0.09309865817139995,0.0013548608819466553,0.0012777772712597804,0.001527485718953076,True,True,0.45,12,20260842
01,random_forest,0.039044237965448536,0.16485585498078748,0.12581161701533894,0.0017018805707080223,0.0015865658533503826,0.001779754739065346,True,True,0.45,13,20260843
01,extra_trees,0.06667328404622497,0.24233182247136031,0.17565853842513535,0.0016772362158169506,0.0015111824669003947,0.001779754739065346,True,True,0.45,13,20260843
02,random_forest,0.06147241819362004,0.21400228996237847,0.15252987176875843,0.0013749767179837293,0.0012582949819819713,0.0014723577777993168,True,True,0.45,13,20260843
02,extra_trees,0.17297505363395205,0.27955999870326875,0.1065849450693167,0.0012907172942715952,0.0012046773181503593,0.0014723577777993168,True,True,0.45,13,20260843
01,random_forest,0.07972246727405174,0.11913598306433015,0.03941351579027841,0.0016092715702399217,0.0015744336528145176,0.001722657584614348,True,True,0.45,14,20260844
01,extra_trees,0.07536867020223093,0.16803791158778758,0.09266924138555666,0.001613073779000436,0.001530106631820242,0.001722657584614348,True,True,0.45,14,20260844
02,random_forest,0.1809098573157294,0.2348314121216325,0.053921554805903105,0.0013290732426391402,0.0012845814059719636,0.0015198782071981862,True,True,0.45,14,20260844
02,extra_trees,0.2301084827138964,0.28586322920188645,0.05575474648799006,0.0012885397846895007,0.001241005661313278,0.0015198782071981862,True,True,0.45,14,20260844
