replicate,test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass
80,01,random_forest,0.08139202443403182,0.0709502498179233,-0.010441774616108512,0.0015108246306445668,0.0015193871041404542,0.0016242795254091961,True,True
80,01,extra_trees,0.11521258027775949,0.10895742496674443,-0.006255155311015059,0.0014827516639131402,0.0014879837156526713,0.0016242795254091961,True,True
80,02,random_forest,0.11426420421002625,0.10907420801063761,-0.005189996199388647,0.001202676942614901,0.0012061953573876732,0.0013365910123929621,True,True
80,02,extra_trees,0.22403715511461575,0.20287203916228969,-0.021165115952326063,0.0011256862205720284,0.0011409350136908673,0.0013365910123929621,True,True
81,01,random_forest,0.08139202443403182,0.08026838608035158,-0.0011236383536802341,0.0015108246306445668,0.0015117483661944838,0.0016242795254091961,True,True
81,01,extra_trees,0.11521258027775949,0.1161087191648662,0.0008961388871067122,0.0014827516639131402,0.0014820005863003074,0.0016242795254091961,True,True
81,02,random_forest,0.11426420421002625,0.11680197459329866,0.0025377703832724086,0.001202676942614901,0.0012009527787754043,0.0013365910123929621,True,True
81,02,extra_trees,0.22403715511461575,0.21088949025169612,-0.013147664862919628,0.0011256862205720284,0.001135182795440952,0.0013365910123929621,True,True
82,01,random_forest,0.08139202443403182,0.07333677619874224,-0.00805524823528958,0.0015108246306445668,0.001517434362083562,0.0016242795254091961,True,True
82,01,extra_trees,0.11521258027775949,0.10898504489946603,-0.006227535378293458,0.0014827516639131402,0.0014879606537195182,0.0016242795254091961,True,True
82,02,random_forest,0.11426420421002625,0.11686130010403017,0.00259709589400392,0.001202676942614901,0.0012009124433515269,0.0013365910123929621,True,True
82,02,extra_trees,0.22403715511461575,0.21240603974618366,-0.011631115368432088,0.0011256862205720284,0.001134091447136029,0.0013365910123929621,True,True
83,01,random_forest,0.08139202443403182,0.08051462473374915,-0.0008773997002826661,0.0015108246306445668,0.0015115459833497272,0.0016242795254091961,True,True
83,01,extra_trees,0.11521258027775949,0.11135079804919412,-0.003861782228565369,0.0014827516639131402,0.001485983982455323,0.0016242795254091961,True,True
83,02,random_forest,0.11426420421002625,0.10923900564776812,-0.0050251985622581374,0.001202676942614901,0.0012060837951567759,0.0013365910123929621,True,True
83,02,extra_trees,0.22403715511461575,0.2210029259507844,-0.003034229163831337,0.0011256862205720284,0.001127884945368813,0.0013365910123929621,True,True
84,01,random_forest,0.08139202443403182,0.07328029858674656,-0.008111725847285256,0.0015108246306445668,0.0015174806031348722,0.0016242795254091961,True,True
84,01,extra_trees,0.11521258027775949,0.12095673092061321,0.005744150642853718,0.0014827516639131402,0.001477930721962784,0.0016242795254091961,True,True
