test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass
01,random_forest,0.08139202443403182,0.07388152900805933,-0.007510495425972485,0.0015108246306445668,0.0015169882732929487,0.0016242795254091961,True,True
01,extra_trees,0.11521258027775949,0.11147740696609931,-0.003735173311660178,0.0014827516639131402,0.0014858781220529178,0.0016242795254091961,True,True
02,random_forest,0.11426420421002625,0.11571905080108302,0.0014548465910567687,0.001202676942614901,0.0012016888209105674,0.0013365910123929621,True,True
02,extra_trees,0.22403715511461553,0.21692218954664955,-0.007114965567965981,0.0011256862205720284,0.0011308352704873324,0.0013365910123929621,True,True
