replicate,test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass
0,1,random_forest,0.0813920244340318,0.0773482222716887,-0.0040438021623431,0.0015108246306445,0.0015141463778977,0.0016242795254091,True,True
0,1,extra_trees,0.1152125802777596,0.1097058048033365,-0.005506775474423,0.0014827516639131,0.0014873587113259,0.0016242795254091,True,True
0,2,random_forest,0.1142642042100262,0.1239097824102293,0.009645578200203,0.0012026769426149,0.0011961104981846,0.0013365910123929,True,True
0,2,extra_trees,0.2240371551146155,0.2148058300180831,-0.0092313250965323,0.001125686220572,0.0011323623468117,0.0013365910123929,True,True
1,1,random_forest,0.0813920244340318,0.0790586916079447,-0.002333332826087,0.0015108246306445,0.001512742217381,0.0016242795254091,True,True
1,1,extra_trees,0.1152125802777596,0.1113346214455022,-0.0038779588322573,0.0014827516639131,0.0014859975075136,0.0016242795254091,True,True
1,2,random_forest,0.1142642042100262,0.1166036902961982,0.0023394860861719,0.0012026769426149,0.0012010875824699,0.0013365910123929,True,True
1,2,extra_trees,0.2240371551146155,0.2172762543061451,-0.0067609008084703,0.001125686220572,0.0011305795907953,0.0013365910123929,True,True
2,1,random_forest,0.0813920244340318,0.0783121090919924,-0.0030799153420393,0.0015108246306445,0.0015133552630128,0.0016242795254091,True,True
2,1,extra_trees,0.1152125802777596,0.1056856691630573,-0.0095269111147022,0.0014827516639131,0.0014907130233034,0.0016242795254091,True,True
2,2,random_forest,0.1142642042100262,0.1080304596449129,-0.0062337445651132,0.0012026769426149,0.0012069016989992,0.0013365910123929,True,True
2,2,extra_trees,0.2240371551146155,0.2102877013590146,-0.0137494537556008,0.001125686220572,0.0011356155676541,0.0013365910123929,True,True
3,1,random_forest,0.0813920244340318,0.068990234119599,-0.0124017903144327,0.0015108246306445,0.0015209889847431,0.0016242795254091,True,True
3,1,extra_trees,0.1152125802777596,0.1138387912007391,-0.0013737890770204,0.0014827516639131,0.0014839023346344,0.0016242795254091,True,True
3,2,random_forest,0.1142642042100262,0.1139766279427306,-0.0002875762672955,0.0012026769426149,0.0012028721663367,0.0013365910123929,True,True
3,2,extra_trees,0.2240371551146155,0.2108205897748458,-0.0132165653397696,0.001125686220572,0.0011352323530933,0.0013365910123929,True,True
4,1,random_forest,0.0813920244340318,0.074910240303467,-0.0064817841305647,0.0015108246306445,0.0015161455211962,0.0016242795254091,True,True
4,1,extra_trees,0.1152125802777596,0.1078451624871223,-0.0073674177906372,0.0014827516639131,0.0014889121293697,0.0016242795254091,True,True
4,2,random_forest,0.1142642042100262,0.136122922141856,0.0218587179318298,0.0012026769426149,0.0011877440457411,0.0013365910123929,True,True
4,2,extra_trees,0.2240371551146155,0.2216707313483574,-0.002366423766258,0.001125686220572,0.0011274013946771,0.0013365910123929,True,True
5,1,random_forest,0.0813920244340318,0.0807534008759706,-0.0006386235580612,0.0015108246306445,0.0015113497080402,0.0016242795254091,True,True
5,1,extra_trees,0.1152125802777596,0.1106928662870461,-0.0045197139907134,0.0014827516639131,0.0014865339717895,0.0016242795254091,True,True
5,2,random_forest,0.1142642042100262,0.1031967903822116,-0.0110674138278146,0.0012026769426149,0.001210167439191,0.0013365910123929,True,True
5,2,extra_trees,0.2240371551146155,0.2107280439836238,-0.0133091111309916,0.001125686220572,0.0011352989145716,0.0013365910123929,True,True
6,1,random_forest,0.0813920244340318,0.0776079682168047,-0.0037840562172271,0.0015108246306445,0.0015139332308169,0.0016242795254091,True,True
6,1,extra_trees,0.1152125802777596,0.117518462583853,0.0023058823060934,0.0014827516639131,0.0014808182721791,0.0016242795254091,True,True
6,2,random_forest,0.1142642042100262,0.114857376432069,0.0005931722220428,0.0012026769426149,0.0012022741622164,0.0013365910123929,True,True
6,2,extra_trees,0.2240371551146155,0.2045382982970101,-0.0194988568176054,0.001125686220572,0.0011397419255048,0.0013365910123929,True,True
7,1,random_forest,0.0813920244340318,0.0770574192592999,-0.0043346051747318,0.0015108246306445,0.0015143849747599,0.0016242795254091,True,True
7,1,extra_trees,0.1152125802777596,0.1125026214893452,-0.0027099587884144,0.0014827516639131,0.0014850206404758,0.0016242795254091,True,True
7,2,random_forest,0.1142642042100262,0.1050622617091782,-0.009201942500848,0.0012026769426149,0.0012089081284248,0.0013365910123929,True,True
7,2,extra_trees,0.2240371551146155,0.2200920530756934,-0.003945102038922,0.001125686220572,0.0011285441645702,0.0013365910123929,True,True
8,1,random_forest,0.0813920244340318,0.0813387028989161,-5.332153511572457e-05,0.0015108246306445,0.0015108684786851,0.0016242795254091,True,True
8,1,extra_trees,0.1152125802777596,0.1076276144520662,-0.0075849658256933,0.0014827516639131,0.0014890936506432,0.0016242795254091,True,True
8,2,random_forest,0.1142642042100262,0.1139921635683237,-0.0002720406417024,0.0012026769426149,0.0012028616206479,0.0013365910123929,True,True
8,2,extra_trees,0.2240371551146155,0.2154458113479893,-0.0085913437666261,0.001125686220572,0.0011319007804148,0.0013365910123929,True,True
9,1,random_forest,0.0813920244340318,0.074279115904151,-0.0071129085298807,0.0015108246306445,0.0015166626133348,0.0016242795254091,True,True
9,1,extra_trees,0.1152125802777596,0.1098198606935395,-0.00539271958422,0.0014827516639131,0.0014872634352608,0.0016242795254091,True,True
9,2,random_forest,0.1142642042100262,0.1142449376741518,-1.9266535874362667e-05,0.0012026769426149,0.0012026900228655,0.0013365910123929,True,True
9,2,extra_trees,0.2240371551146155,0.1973260408035844,-0.0267111143110311,0.001125686220572,0.0011448971477981,0.0013365910123929,True,True
10,1,random_forest,0.0813920244340318,0.0775461018506057,-0.003845922583426,0.0015108246306445,0.0015139840009743,0.0016242795254091,True,True
10,1,extra_trees,0.1152125802777596,0.1126830329700467,-0.0025295473077128,0.0014827516639131,0.0014848696944584,0.0016242795254091,True,True
10,2,random_forest,0.1142642042100262,0.110896507134674,-0.0033676970753522,0.0012026769426149,0.0012049611502933,0.0013365910123929,True,True
10,2,extra_trees,0.2240371551146155,0.2089715165289897,-0.0150656385856258,0.001125686220572,0.0011365615183007,0.0013365910123929,True,True
11,1,random_forest,0.0813920244340318,0.0794401629512298,-0.001951861482802,0.0015108246306445,0.0015124288816826,0.0016242795254091,True,True
11,1,extra_trees,0.1152125802777596,0.1115017053951092,-0.0037108748826503,0.0014827516639131,0.0014858578047581,0.0016242795254091,True,True
11,2,random_forest,0.1142642042100262,0.1189822544292905,0.0047180502192643,0.0012026769426149,0.0011994695151039,0.0013365910123929,True,True
11,2,extra_trees,0.2240371551146155,0.1982099504634147,-0.0258272046512008,0.001125686220572,0.0011442665901528,0.0013365910123929,True,True
12,1,random_forest,0.0813920244340318,0.0753477460613765,-0.0060442783726553,0.0015108246306445,0.0015157869609409,0.0016242795254091,True,True
12,1,extra_trees,0.1152125802777596,0.1086496881396429,-0.0065628921381166,0.0014827516639131,0.0014882406438121,0.0016242795254091,True,True
12,2,random_forest,0.1142642042100262,0.1216299901246309,0.0073657859146046,0.0012026769426149,0.0011976657671162,0.0013365910123929,True,True
12,2,extra_trees,0.2240371551146155,0.2036400266429863,-0.0203971284716292,0.001125686220572,0.0011403852682299,0.0013365910123929,True,True
13,1,random_forest,0.0813920244340318,0.0787076541959729,-0.0026843702380588,0.0015108246306445,0.0015130304977059,0.0016242795254091,True,True
13,1,extra_trees,0.1152125802777596,0.1064603651902746,-0.0087522150874849,0.0014827516639131,0.0014900672214744,0.0016242795254091,True,True
13,2,random_forest,0.1142642042100262,0.11028797515089,-0.0039762290591361,0.0012026769426149,0.0012053734374913,0.0013365910123929,True,True
13,2,extra_trees,0.2240371551146155,0.225689002278307,0.0016518471636914,0.001125686220572,0.0011244874181747,0.0013365910123929,True,True
14,1,random_forest,0.0813920244340318,0.0770884064969086,-0.0043036179371231,0.0015108246306445,0.0015143595522679,0.0016242795254091,True,True
14,1,extra_trees,0.1152125802777596,0.1103211840895863,-0.0048913961881732,0.0014827516639131,0.0014868445846665,0.0016242795254091,True,True
14,2,random_forest,0.1142642042100262,0.1120942827964627,-0.0021699214135635,0.0012026769426149,0.0012041492315667,0.0013365910123929,True,True
14,2,extra_trees,0.2240371551146155,0.1985251167448984,-0.025512038369717,0.001125686220572,0.0011440416748569,0.0013365910123929,True,True
15,1,random_forest,0.0813920244340318,0.0811215902477433,-0.0002704341862884,0.0015108246306445,0.0015110470043741,0.0016242795254091,True,True
15,1,extra_trees,0.1152125802777596,0.1117561006859888,-0.0034564795917707,0.0014827516639131,0.0014856450737424,0.0016242795254091,True,True
15,2,random_forest,0.1142642042100262,0.1086196805268252,-0.005644523683201,0.0012026769426149,0.0012065030031186,0.0013365910123929,True,True
15,2,extra_trees,0.2240371551146155,0.2084278363108653,-0.0156093188037501,0.001125686220572,0.0011369520351324,0.0013365910123929,True,True
16,1,random_forest,0.0813920244340318,0.0779774002736553,-0.0034146241603765,0.0015108246306445,0.001513630023796,0.0016242795254091,True,True
16,1,extra_trees,0.1152125802777596,0.1129913039342632,-0.0022212763434963,0.0014827516639131,0.0014846117359196,0.0016242795254091,True,True
16,2,random_forest,0.1142642042100262,0.1126834389086914,-0.0015807653013347,0.0012026769426149,0.001203749667971,0.0013365910123929,True,True
16,2,extra_trees,0.2240371551146155,0.2099121967725843,-0.0141249583420312,0.001125686220572,0.0011358855255714,0.0013365910123929,True,True
17,1,random_forest,0.0813920244340318,0.0792005890141431,-0.0021914354198886,0.0015108246306445,0.0015126256722418,0.0016242795254091,True,True
17,1,extra_trees,0.1152125802777596,0.1131179232672742,-0.0020946570104853,0.0014827516639131,0.0014845057689446,0.0016242795254091,True,True
17,2,random_forest,0.1142642042100262,0.1058695070431742,-0.008394697166852,0.0012026769426149,0.00120836278009,0.0013365910123929,True,True
17,2,extra_trees,0.2240371551146155,0.2188716413548216,-0.0051655137597939,0.001125686220572,0.0011294268008814,0.0013365910123929,True,True
18,1,random_forest,0.0813920244340318,0.0833891401376613,0.0019971157036294,0.0015108246306445,0.0015091814197158,0.0016242795254091,True,True
18,1,extra_trees,0.1152125802777596,0.1201613211258532,0.0049487408480936,0.0014827516639131,0.0014785992298763,0.0016242795254091,True,True
18,2,random_forest,0.1142642042100262,0.1041991741600177,-0.0100650300500084,0.0012026769426149,0.0012094909299233,0.0013365910123929,True,True
18,2,extra_trees,0.2240371551146155,0.2102048357558392,-0.0138323193587762,0.001125686220572,0.0011356751469469,0.0013365910123929,True,True
19,1,random_forest,0.0813920244340318,0.0744127296098994,-0.0069792948241323,0.0015108246306445,0.0015165531558145,0.0016242795254091,True,True
19,1,extra_trees,0.1152125802777596,0.1086180302944672,-0.0065945499832923,0.0014827516639131,0.0014882670722954,0.0016242795254091,True,True
19,2,random_forest,0.1142642042100262,0.110065261965886,-0.0041989422441401,0.0012026769426149,0.0012055242929098,0.0013365910123929,True,True
19,2,extra_trees,0.2240371551146155,0.2051303094226392,-0.0189068456919763,0.001125686220572,0.0011393177281569,0.0013365910123929,True,True
20,1,random_forest,0.0813920244340318,0.0784306708275744,-0.0029613536064573,0.0015108246306445,0.0015132579243156,0.0016242795254091,True,True
20,1,extra_trees,0.1152125802777594,0.1116650328573702,-0.0035475474203892,0.0014827516639131,0.0014857212301919,0.0016242795254091,True,True
20,2,random_forest,0.1142642042100262,0.1106876127416126,-0.0035765914684136,0.0012026769426149,0.0012051026944707,0.0013365910123929,True,True
20,2,extra_trees,0.2240371551146155,0.2113052474241066,-0.0127319076905089,0.001125686220572,0.0011348837102273,0.0013365910123929,True,True
21,1,random_forest,0.0813920244340318,0.0781498543030304,-0.0032421701310013,0.0015108246306445,0.0015134884633811,0.0016242795254091,True,True
21,1,extra_trees,0.1152125802777594,0.1154911166396609,0.0002785363619014,0.0014827516639131,0.0014825182560042,0.0016242795254091,True,True
21,2,random_forest,0.1142642042100262,0.1227271392974954,0.0084629350874692,0.0012026769426149,0.0011969175467911,0.0013365910123929,True,True
21,2,extra_trees,0.2240371551146155,0.1985351944474226,-0.0255019606671929,0.001125686220572,0.0011440344822747,0.0013365910123929,True,True
22,1,random_forest,0.0813920244340318,0.0758288577956144,-0.0055631666384173,0.0015108246306445,0.0015153925652225,0.0016242795254091,True,True
22,1,extra_trees,0.1152125802777594,0.1126987838269354,-0.002513796450824,0.0014827516639131,0.0014848565153608,0.0016242795254091,True,True
22,2,random_forest,0.1142642042100262,0.1143751884819055,0.0001109842718792,0.0012026769426149,0.0012026015914735,0.0013365910123929,True,True
22,2,extra_trees,0.2240371551146155,0.2154856330258984,-0.0085515220887171,0.001125686220572,0.0011318720540624,0.0013365910123929,True,True
23,1,random_forest,0.0813920244340318,0.079462454322713,-0.0019295701113187,0.0015108246306445,0.0015124105698267,0.0016242795254091,True,True
23,1,extra_trees,0.1152125802777594,0.1204295947059935,0.005217014428234,0.0014827516639131,0.0014783737911905,0.0016242795254091,True,True
23,2,random_forest,0.1142642042100262,0.1182403091310857,0.0039761049210594,0.0012026769426149,0.0011999744728561,0.0013365910123929,True,True
23,2,extra_trees,0.2240371551146155,0.2112893709505182,-0.0127477841640972,0.001125686220572,0.001134895132809,0.0013365910123929,True,True
24,1,random_forest,0.0813920244340318,0.078034620441299,-0.0033574039927327,0.0015108246306445,0.0015135830555831,0.0016242795254091,True,True
24,1,extra_trees,0.1152125802777594,0.1124105895349689,-0.0028019907427905,0.0014827516639131,0.0014850976355252,0.0016242795254091,True,True
24,2,random_forest,0.1142642042100262,0.1079447363251423,-0.0063194678848839,0.0012026769426149,0.001206959692647,0.0013365910123929,True,True
24,2,extra_trees,0.2240371551146155,0.2129250368582719,-0.0111121182563436,0.001125686220572,0.0011337177220868,0.0013365910123929,True,True
25,1,random_forest,0.0813920244340318,0.081202683634552,-0.0001893407994797,0.0015108246306445,0.0015109803260075,0.0016242795254091,True,True
25,1,extra_trees,0.1152125802777594,0.1142772252909802,-0.0009353549867792,0.0014827516639131,0.0014835352039956,0.0016242795254091,True,True
25,2,random_forest,0.1142642042100262,0.1073213775304166,-0.0069428266796096,0.0012026769426149,0.0012073813243434,0.0013365910123929,True,True
25,2,extra_trees,0.2240371551146155,0.219684017733911,-0.0043531373807045,0.001125686220572,0.0011288393440794,0.0013365910123929,True,True
26,1,random_forest,0.0813920244340318,0.0717770698844355,-0.0096149545495962,0.0015108246306445,0.001518710854361,0.0016242795254091,True,True
26,1,extra_trees,0.1152125802777594,0.1015708069858113,-0.0136417732919481,0.0014827516639131,0.0014941385744092,0.0016242795254091,True,True
26,2,random_forest,0.1142642042100262,0.1129644710934424,-0.0012997331165838,0.0012026769426149,0.0012035590262067,0.0013365910123929,True,True
26,2,extra_trees,0.2240371551146155,0.2142890025559037,-0.0097481525587117,0.001125686220572,0.0011327349550843,0.0013365910123929,True,True
27,1,random_forest,0.0813920244340318,0.0773439909497794,-0.0040480334842524,0.0015108246306445,0.0015141498498649,0.0016242795254091,True,True
27,1,extra_trees,0.1152125802777594,0.1154558842414594,0.0002433039636999,0.0014827516639131,0.0014825477820804,0.0016242795254091,True,True
27,2,random_forest,0.1142642042100262,0.1190163859409561,0.0047521817309298,0.0012026769426149,0.0011994462805524,0.0013365910123929,True,True
27,2,extra_trees,0.2240371551146155,0.2063076042250428,-0.0177295508895727,0.001125686220572,0.0011384736842312,0.0013365910123929,True,True
28,1,random_forest,0.0813920244340318,0.0780865541064965,-0.0033054703275352,0.0015108246306445,0.0015135404254451,0.0016242795254091,True,True
28,1,extra_trees,0.1152125802777594,0.1030333959308015,-0.0121791843469579,0.0014827516639131,0.0014929218949582,0.0016242795254091,True,True
28,2,random_forest,0.1142642042100262,0.1209899173347448,0.0067257131247185,0.0012026769426149,0.0011981020602819,0.0013365910123929,True,True
28,2,extra_trees,0.2240371551146155,0.2091651899735259,-0.0148719651410895,0.001125686220572,0.001136422373337,0.0013365910123929,True,True
29,1,random_forest,0.0813920244340318,0.0807419296988025,-0.0006500947352292,0.0015108246306445,0.0015113591379942,0.0016242795254091,True,True
29,1,extra_trees,0.1152125802777594,0.1118963902843166,-0.0033161899934428,0.0014827516639131,0.0014855277474197,0.0016242795254091,True,True
29,2,random_forest,0.1142642042100262,0.112442355871948,-0.0018218483380781,0.0012026769426149,0.0012039131856652,0.0013365910123929,True,True
29,2,extra_trees,0.2240371551146155,0.2123619653574007,-0.0116751897572148,0.001125686220572,0.0011341231790249,0.0013365910123929,True,True
30,1,random_forest,0.0813920244340318,0.0789285131996002,-0.0024635112344315,0.0015108246306445,0.0015128491294142,0.0016242795254091,True,True
