estimator,n_splits,median_r2_s,median_r2_sh,median_delta_r2,q025_delta_r2,q975_delta_r2,positive_fraction,gt_002_fraction,median_mae_s,median_mae_sh,complete_p95,incomplete_power,n_sim,history_effect_target_sd,criterion_median_gt_002,criterion_positive_ge_080,criterion_above_complete_p95,criterion_power_ge_080,all_estimator_conditions
hist_gb,100,0.5324998311704343,0.7273708452692017,0.170550339054243,-0.022060422518423443,0.4266453692809085,0.96,0.9,4.23300202686047,3.3822660994906624,0.040927665805822064,0.175,200,0.3,True,True,True,False,False
random_forest,100,0.5495749292976451,0.7359986858167569,0.13435081460391274,-0.024097541287047844,0.5637442933155712,0.93,0.93,4.173181070129809,3.3385217277086374,0.058326988696465874,0.21,200,0.3,True,True,True,False,False
ridge,100,0.676112369650769,0.7109061479630632,0.04450789715246055,-0.06019342121752262,0.2454114443330712,0.66,0.61,3.793615983529752,3.7640913058939507,0.015782770683426504,0.39,200,0.3,True,False,True,False,False
