estimator,n_splits,median_r2_s,median_r2_sh,median_delta_r2,q025_delta_r2,q975_delta_r2,positive_fraction,gt_002_fraction,median_mae_s,median_mae_sh
hist_gb,100,0.5186784507812124,0.7053783119924482,0.1717086691758719,-0.055311662807924517,1.4479457589985467,0.89,0.81,4.567096911404578,3.663481946633098
random_forest,100,0.515013419917831,0.6942562793718429,0.1882218307445356,-0.01928147077577106,1.2408859617219021,0.94,0.84,4.544659713078357,3.6324914488364612
ridge,100,0.6321893940794808,0.7071749414549635,0.06472962907938165,-0.10176732585568704,0.24884432991035024,0.67,0.61,4.080730439160517,3.81622125872268
