sim,split,outcome,estimator,delta_r2,noise_sd
20,20,complete,ridge,-0.008969415824124027,5.839864623879145
20,20,complete,random_forest,0.06431719653487555,5.839864623879145
20,20,complete,hist_gb,0.032903668224593785,5.839864623879145
20,20,incomplete,ridge,0.00973586698505513,5.839864623879145
20,20,incomplete,random_forest,0.09773778329112792,5.839864623879145
20,20,incomplete,hist_gb,0.031221173892590715,5.839864623879145
21,21,complete,ridge,-0.011464976966134466,5.839864623879145
21,21,complete,random_forest,-0.04445340257958963,5.839864623879145
21,21,complete,hist_gb,-0.10333058456850286,5.839864623879145
21,21,incomplete,ridge,0.004873345542883323,5.839864623879145
21,21,incomplete,random_forest,-0.03346099491821275,5.839864623879145
21,21,incomplete,hist_gb,-0.07903923447015015,5.839864623879145
22,22,complete,ridge,-0.006890098109629705,5.839864623879145
22,22,complete,random_forest,-0.017456436356770966,5.839864623879145
22,22,complete,hist_gb,-0.02317281717108899,5.839864623879145
22,22,incomplete,ridge,0.013131130461790153,5.839864623879145
22,22,incomplete,random_forest,0.02619050059487482,5.839864623879145
22,22,incomplete,hist_gb,0.0010633860984000654,5.839864623879145
23,23,complete,ridge,-0.016681710364589097,5.839864623879145
23,23,complete,random_forest,-0.0308686293425664,5.839864623879145
23,23,complete,hist_gb,-0.014767067447370774,5.839864623879145
23,23,incomplete,ridge,-0.008775882299122073,5.839864623879145
23,23,incomplete,random_forest,-0.008284744341335193,5.839864623879145
23,23,incomplete,hist_gb,-0.007384692313828989,5.839864623879145
24,24,complete,ridge,0.021900036586809835,5.839864623879145
24,24,complete,random_forest,0.050071881043990185,5.839864623879145
24,24,complete,hist_gb,0.018351954495452016,5.839864623879145
24,24,incomplete,ridge,0.030981762313654237,5.839864623879145
24,24,incomplete,random_forest,0.04882416997114991,5.839864623879145
24,24,incomplete,hist_gb,0.023237399047349783,5.839864623879145
25,25,complete,ridge,0.008621748130843265,5.839864623879145
25,25,complete,random_forest,0.07808256496453425,5.839864623879145
25,25,complete,hist_gb,0.03740333217537262,5.839864623879145
25,25,incomplete,ridge,0.027680464661650417,5.839864623879145
25,25,incomplete,random_forest,0.10643440052255326,5.839864623879145
25,25,incomplete,hist_gb,0.07402096340971454,5.839864623879145
26,26,complete,ridge,-0.0136611437231412,5.839864623879145
26,26,complete,random_forest,0.027925372882802613,5.839864623879145
26,26,complete,hist_gb,0.031761868303241014,5.839864623879145
26,26,incomplete,ridge,-0.002309865088262031,5.839864623879145
26,26,incomplete,random_forest,0.020947477156798566,5.839864623879145
26,26,incomplete,hist_gb,0.021873893704136838,5.839864623879145
27,27,complete,ridge,0.0012375312127141935,5.839864623879145
27,27,complete,random_forest,0.019717487500273023,5.839864623879145
27,27,complete,hist_gb,-0.016959336667341063,5.839864623879145
27,27,incomplete,ridge,0.022266209650858126,5.839864623879145
27,27,incomplete,random_forest,0.04602196251594981,5.839864623879145
27,27,incomplete,hist_gb,-0.013262544344315286,5.839864623879145
28,28,complete,ridge,0.0008797201409985744,5.839864623879145
28,28,complete,random_forest,0.004757517063260885,5.839864623879145
28,28,complete,hist_gb,-0.016399638262379668,5.839864623879145
28,28,incomplete,ridge,0.015428600018145389,5.839864623879145
28,28,incomplete,random_forest,0.0612512343979601,5.839864623879145
28,28,incomplete,hist_gb,0.040532824209130625,5.839864623879145
29,29,complete,ridge,-0.004540426733997682,5.839864623879145
29,29,complete,random_forest,0.048168075647292974,5.839864623879145
29,29,complete,hist_gb,0.008174929186973268,5.839864623879145
29,29,incomplete,ridge,0.005203500152126672,5.839864623879145
29,29,incomplete,random_forest,0.0565040696664989,5.839864623879145
29,29,incomplete,hist_gb,0.005980059020139206,5.839864623879145
30,30,complete,ridge,0.011929540813348627,5.839864623879145
30,30,complete,random_forest,0.010257037368336053,5.839864623879145
30,30,complete,hist_gb,-0.026551383218544777,5.839864623879145
30,30,incomplete,ridge,0.03058261046480104,5.839864623879145
30,30,incomplete,random_forest,0.03671041809401632,5.839864623879145
30,30,incomplete,hist_gb,0.010298367798490915,5.839864623879145
31,31,complete,ridge,0.005413940336164047,5.839864623879145
31,31,complete,random_forest,-0.0003468161753144017,5.839864623879145
31,31,complete,hist_gb,-0.035155402286852544,5.839864623879145
31,31,incomplete,ridge,0.0175832171033935,5.839864623879145
31,31,incomplete,random_forest,0.020886747502978142,5.839864623879145
31,31,incomplete,hist_gb,0.0070257618246144515,5.839864623879145
32,32,complete,ridge,0.0029564054148933927,5.839864623879145
32,32,complete,random_forest,0.025096596259777892,5.839864623879145
32,32,complete,hist_gb,-0.01026375541741642,5.839864623879145
32,32,incomplete,ridge,0.02255147760738041,5.839864623879145
32,32,incomplete,random_forest,0.05663296068491097,5.839864623879145
32,32,incomplete,hist_gb,0.011922792407108695,5.839864623879145
33,33,complete,ridge,0.013576060751522956,5.839864623879145
33,33,complete,random_forest,0.013517764680609279,5.839864623879145
33,33,complete,hist_gb,-0.008061160615355112,5.839864623879145
33,33,incomplete,ridge,0.03333271236213575,5.839864623879145
33,33,incomplete,random_forest,0.04999444187051383,5.839864623879145
33,33,incomplete,hist_gb,0.02590805746116276,5.839864623879145
34,34,complete,ridge,0.012083262953079044,5.839864623879145
34,34,complete,random_forest,0.036026230153411554,5.839864623879145
34,34,complete,hist_gb,0.013589054753241459,5.839864623879145
34,34,incomplete,ridge,0.03551304887609941,5.839864623879145
34,34,incomplete,random_forest,0.06566698955259542,5.839864623879145
34,34,incomplete,hist_gb,0.05445730443470953,5.839864623879145
35,35,complete,ridge,-0.004265859408107531,5.839864623879145
35,35,complete,random_forest,-0.013464920878200726,5.839864623879145
35,35,complete,hist_gb,-0.014361830419729826,5.839864623879145
35,35,incomplete,ridge,0.005447181399105272,5.839864623879145
35,35,incomplete,random_forest,0.01716762519535109,5.839864623879145
35,35,incomplete,hist_gb,0.007929344497967561,5.839864623879145
36,36,complete,ridge,0.0011555980236881425,5.839864623879145
36,36,complete,random_forest,-0.0004992751020885811,5.839864623879145
36,36,complete,hist_gb,-0.024511241306718112,5.839864623879145
36,36,incomplete,ridge,0.01255970937118478,5.839864623879145
36,36,incomplete,random_forest,0.0016695287016187388,5.839864623879145
36,36,incomplete,hist_gb,-0.022588681197399763,5.839864623879145
37,37,complete,ridge,0.011949889929001367,5.839864623879145
37,37,complete,random_forest,0.017040372201182374,5.839864623879145
37,37,complete,hist_gb,0.003227787783931735,5.839864623879145
37,37,incomplete,ridge,0.031247154528939003,5.839864623879145
37,37,incomplete,random_forest,0.023087262781719575,5.839864623879145
37,37,incomplete,hist_gb,0.013311153984178925,5.839864623879145
38,38,complete,ridge,-0.011668008589759027,5.839864623879145
38,38,complete,random_forest,-0.016356096554284827,5.839864623879145
38,38,complete,hist_gb,-0.04128761020617089,5.839864623879145
38,38,incomplete,ridge,0.0008931018660901513,5.839864623879145
38,38,incomplete,random_forest,-0.007008127970811073,5.839864623879145
38,38,incomplete,hist_gb,-0.031684724247428964,5.839864623879145
39,39,complete,ridge,0.0008140816357530278,5.839864623879145
39,39,complete,random_forest,0.02172288982417747,5.839864623879145
39,39,complete,hist_gb,-0.009533288681595531,5.839864623879145
39,39,incomplete,ridge,0.017094479729218737,5.839864623879145
39,39,incomplete,random_forest,0.039891167147828144,5.839864623879145
39,39,incomplete,hist_gb,-0.010955919732486885,5.839864623879145
