sim,split,outcome,estimator,delta_r2,noise_sd
160,60,complete,ridge,-0.005030791583318539,5.839864623879145
160,60,complete,random_forest,0.06557395114274267,5.839864623879145
160,60,complete,hist_gb,-0.03241242107148523,5.839864623879145
160,60,incomplete,ridge,0.007139980811734392,5.839864623879145
160,60,incomplete,random_forest,0.12036714795609038,5.839864623879145
160,60,incomplete,hist_gb,0.0338352686700647,5.839864623879145
161,61,complete,ridge,0.023288702859200372,5.839864623879145
161,61,complete,random_forest,0.023198913846447344,5.839864623879145
161,61,complete,hist_gb,0.010594050937272947,5.839864623879145
161,61,incomplete,ridge,0.0439702953626091,5.839864623879145
161,61,incomplete,random_forest,0.08141531416070724,5.839864623879145
161,61,incomplete,hist_gb,0.052111813065169654,5.839864623879145
162,62,complete,ridge,0.00886315461496856,5.839864623879145
162,62,complete,random_forest,-0.023686146382239537,5.839864623879145
162,62,complete,hist_gb,-0.019334862729747382,5.839864623879145
162,62,incomplete,ridge,0.028302088381982227,5.839864623879145
162,62,incomplete,random_forest,0.027580286482694394,5.839864623879145
162,62,incomplete,hist_gb,0.02898810509102656,5.839864623879145
163,63,complete,ridge,-0.00423941742581424,5.839864623879145
163,63,complete,random_forest,0.014446861895745067,5.839864623879145
163,63,complete,hist_gb,0.017242773105422438,5.839864623879145
163,63,incomplete,ridge,0.008101961747977615,5.839864623879145
163,63,incomplete,random_forest,0.027896678242890993,5.839864623879145
163,63,incomplete,hist_gb,0.029192828767256485,5.839864623879145
164,64,complete,ridge,1.8009675551988735e-06,5.839864623879145
164,64,complete,random_forest,0.04612372916036289,5.839864623879145
164,64,complete,hist_gb,0.010209836178538101,5.839864623879145
164,64,incomplete,ridge,0.01934404638558973,5.839864623879145
164,64,incomplete,random_forest,0.06388638569951288,5.839864623879145
164,64,incomplete,hist_gb,0.03598940180749499,5.839864623879145
165,65,complete,ridge,0.0029983123116278376,5.839864623879145
165,65,complete,random_forest,0.004458664043938687,5.839864623879145
165,65,complete,hist_gb,-0.015607382793569657,5.839864623879145
165,65,incomplete,ridge,0.020061414296454694,5.839864623879145
165,65,incomplete,random_forest,0.034711100992760646,5.839864623879145
165,65,incomplete,hist_gb,0.01744125321265344,5.839864623879145
166,66,complete,ridge,0.009941517041614945,5.839864623879145
166,66,complete,random_forest,-0.02146770420941435,5.839864623879145
166,66,complete,hist_gb,-0.037989981032110265,5.839864623879145
166,66,incomplete,ridge,0.01732404699250112,5.839864623879145
166,66,incomplete,random_forest,-0.013474386858211895,5.839864623879145
166,66,incomplete,hist_gb,-0.0349827016793125,5.839864623879145
167,67,complete,ridge,-0.008123032759945525,5.839864623879145
167,67,complete,random_forest,-0.030204341541025692,5.839864623879145
167,67,complete,hist_gb,-0.069068821916631,5.839864623879145
167,67,incomplete,ridge,0.00585463121589247,5.839864623879145
167,67,incomplete,random_forest,-0.00047837086312763066,5.839864623879145
167,67,incomplete,hist_gb,-0.026339198088383586,5.839864623879145
168,68,complete,ridge,0.007944129247447917,5.839864623879145
168,68,complete,random_forest,0.05004596576221754,5.839864623879145
168,68,complete,hist_gb,0.03435930373314244,5.839864623879145
168,68,incomplete,ridge,0.028527536339054915,5.839864623879145
168,68,incomplete,random_forest,0.06611109695529893,5.839864623879145
168,68,incomplete,hist_gb,0.06242423132436703,5.839864623879145
169,69,complete,ridge,0.009291111380326122,5.839864623879145
169,69,complete,random_forest,0.025799130503680656,5.839864623879145
169,69,complete,hist_gb,0.024416907342404204,5.839864623879145
169,69,incomplete,ridge,0.040526445379426734,5.839864623879145
