split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
20,ridge,0.5766347762527341,0.7049786394541709,0.12834386320143687,4.243868730274732,3.878201510535877,-0.3656672197388553,524,177,18,6,0
20,random_forest,0.4741814110952698,0.6259631577311975,0.1517817466359277,4.524753879876482,3.9611562752573066,-0.5635976046191757,524,177,18,6,0
20,hist_gb,0.4960977945482463,0.7102375879913401,0.21413979344309375,4.385595656760496,3.8564212835585905,-0.5291743732019056,524,177,18,6,0
21,ridge,0.6278701486216743,0.7336890027130067,0.1058188540913324,4.165502848366851,3.8710692554180124,-0.2944335929488382,578,123,18,6,0
21,random_forest,0.6823308812626916,0.792329665914986,0.1099987846522944,3.9549308390543483,3.2644827776987766,-0.6904480613555717,578,123,18,6,0
21,hist_gb,0.7044980695263776,0.8184368092264707,0.11393873970009305,3.768780169598448,3.2177529077711546,-0.5510272618272936,578,123,18,6,0
22,ridge,0.7265421117520434,0.7071109333776938,-0.0194311783743496,3.5580645967563966,3.4524131444041988,-0.10565145235219786,487,214,18,6,0
22,random_forest,0.5450965066589144,0.7634206244994939,0.21832411784057948,4.071812337749137,3.2288594396485424,-0.8429528981005943,487,214,18,6,0
22,hist_gb,0.4958430862787546,0.7496190611595326,0.25377597488077797,4.186799734420403,3.3536776954717187,-0.8331220389486846,487,214,18,6,0
23,ridge,0.6849374632314336,0.6566419209260749,-0.02829554230535869,3.473985068849087,3.669056718740202,0.1950716498911147,506,195,18,6,0
23,random_forest,0.6653047740850581,0.6412293142544447,-0.02407545983061332,3.5830510051473206,3.44796060395387,-0.1350904011934504,506,195,18,6,0
23,hist_gb,0.6445688041380423,0.6721905860385411,0.0276217819004988,3.6652898696085128,3.2176335851901174,-0.44765628441839533,506,195,18,6,0
24,ridge,0.7844287902266045,0.7625687370664014,-0.02186005316020312,3.335916170555529,3.499580272127323,0.1636641015717939,489,212,18,6,0
24,random_forest,0.6400984435595738,0.7944642050880817,0.1543657615285079,3.796239436585351,3.110502848486389,-0.6857365880989619,489,212,18,6,0
24,hist_gb,0.5790827488889208,0.7940881916491783,0.21500544276025757,3.8884202973860575,3.1328612250655454,-0.7555590723205121,489,212,18,6,0
25,ridge,0.6717406320906459,0.7377491072901894,0.06600847519954345,4.495901965303546,4.02496235554006,-0.47093960976348637,496,205,18,6,0
25,random_forest,0.5240693786193333,0.7922212139904672,0.26815183537113385,4.887551164405788,3.4948451598040386,-1.3927060046017492,496,205,18,6,0
25,hist_gb,0.4415749532782889,0.7780846277368422,0.3365096744585533,5.282709073794724,3.5644783361090018,-1.718230737685722,496,205,18,6,0
26,ridge,0.8667721206039811,0.8141187804673513,-0.05265334013662981,2.5016243530710702,3.018470757183323,0.5168464041122527,507,194,18,6,0
