split,estimator,r2_s,r2_sh,delta_r2,mae_s,mae_sh,delta_mae,n_train,n_test,train_groups,test_groups,group_overlap
40,ridge,0.6333245207402223,0.536472117744404,-0.09685240299581832,3.726871327766625,4.24799341554426,0.5211220877776346,528,173,9,3,0
40,random_forest,0.3893630597552139,0.6384582310036172,0.2490951712484033,4.538663771380659,3.621003840208293,-0.9176599311723654,528,173,9,3,0
40,hist_gb,0.35285103244503846,0.5715182299654777,0.21866719752043928,4.651844725885604,3.885681166901247,-0.7661635589843567,528,173,9,3,0
41,ridge,0.8478268219662355,0.82266241737101,-0.02516440459522551,2.7005332323114644,3.0217917965488077,0.32125856423734334,451,250,9,3,0
41,random_forest,0.8607804728691378,0.8735819631788037,0.01280149030966582,2.6014738942370084,2.4554372399902595,-0.14603665424674883,451,250,9,3,0
41,hist_gb,0.8700139259090043,0.8842901151731007,0.014276189264096462,2.5222837430028666,2.390327039183793,-0.13195670381907343,451,250,9,3,0
42,ridge,0.6310542674187394,0.7333535875495503,0.10229932013081089,3.992555624458712,3.693325158178719,-0.29923046627999295,449,252,9,3,0
42,random_forest,0.5756372993561127,0.6763514338215385,0.10071413446542576,3.926356346643057,3.64397905746463,-0.2823772891784273,449,252,9,3,0
42,hist_gb,0.5654932515302025,0.7248237925386531,0.15933054100845068,3.8786692401717255,3.624079895137402,-0.2545893450343235,449,252,9,3,0
43,ridge,0.5977415472894803,0.6304132422511555,0.03267169496167521,4.310451273965148,4.104895903441402,-0.20555537052374628,489,212,9,3,0
43,random_forest,-0.22393420965049216,0.6769351888996574,0.9008693985501496,6.205121232059033,3.756049258641713,-2.4490719734173205,489,212,9,3,0
43,hist_gb,-0.319485744906002,0.6461776327097379,0.96566337761574,6.540548502693814,3.8716697200129193,-2.6688787826808946,489,212,9,3,0
44,ridge,0.5372146849500355,0.6759453912643483,0.13873070631431272,4.852363784342135,4.220830430182255,-0.6315333541598802,464,237,9,3,0
44,random_forest,0.33349595625286543,0.609413709373417,0.27591775312055156,5.698951958016522,4.338995146466853,-1.3599568115496696,464,237,9,3,0
