estimator,perm,null_sister_log_loss_gain
logistic,0,-0.03700151363158133
logistic,1,-0.00474206416975842
logistic,2,-0.054764367149001236
logistic,3,-0.011318011850992349
logistic,4,-0.07037690309832911
histgb,0,0.04616664279052918
histgb,1,-0.043931924821488666
histgb,2,-0.03941252484710844
histgb,3,-0.05219570210493951
histgb,4,-0.04280083187030148
