representation,estimator,n_folds,state_log_loss,state_plus_sister_log_loss,sister_log_loss_gain,state_balanced_accuracy,state_plus_sister_balanced_accuracy,sister_balanced_accuracy_gain,state_accuracy,state_plus_sister_accuracy
expr16,histgb,10,1.130006422228516,0.7245392356269711,0.405467186601545,0.5490560365560364,0.7644540644540645,0.21539802789802787,0.5418803418803418,0.7595441595441595
expr16,logistic,10,0.911055335877949,0.6135184851743322,0.2975368507036167,0.5957611832611832,0.8010281385281386,0.20526695526695532,0.5823361823361825,0.7931623931623931
expr32,histgb,10,1.231634362519245,0.7083659170690705,0.5232684454501745,0.528493265993266,0.7747053872053872,0.24621212121212127,0.526068376068376,0.7705128205128206
expr32,logistic,10,0.9172295174622175,0.5894031246440775,0.3278263928181397,0.563059163059163,0.8118386243386242,0.24877946127946132,0.5487179487179488,0.8007122507122506
expr4,histgb,10,1.0592258488040662,0.608422912923945,0.45080293588012116,0.5042388167388168,0.8191378066378068,0.3148989898989899,0.4698005698005698,0.8121082621082621
expr4,logistic,10,1.0127348858808296,0.5319262455001755,0.48080864038065396,0.47791606541606535,0.8483465608465608,0.37043049543049544,0.45883190883190883,0.8424501424501425
expr8,histgb,10,1.3173253153172935,0.7112227195413812,0.6061025957759123,0.38007455507455506,0.795045695045695,0.41497113997114,0.3907407407407407,0.7860398860398861
expr8,logistic,10,1.0742665498131727,0.5989204268468982,0.47534612296627454,0.42131433381433386,0.8072210197210197,0.38590668590668586,0.4245014245014245,0.8009971509971511
spring2d,histgb,10,0.9342608235042655,0.6894634588257174,0.24479736467854818,0.6206469456469457,0.8253667628667628,0.20471981721981725,0.6045584045584045,0.8118233618233617
spring2d,logistic,10,0.926913623492778,0.5547581497332831,0.3721554737594948,0.6186026936026937,0.832473544973545,0.21387085137085138,0.6041310541310542,0.8232193732193732
