time_index,v1_cx,v1_cy,v1_sx,v1_sy,v1_covxy,v1_entropy,v1_occupancy,v1_edge,v2_cx,v2_cy,v2_sx,v2_sy,v2_covxy,v2_entropy,v2_occupancy,v2_edge,v3_cx,v3_cy,v3_sx,v3_sy,v3_covxy,v3_entropy,v3_occupancy,v3_edge,v4_cx,v4_cy,v4_sx,v4_sy,v4_covxy,v4_entropy,v4_occupancy,v4_edge,mean_cx,sd_cx,mean_cy,sd_cy,mean_sx,sd_sx,mean_sy,sd_sy,mean_covxy,sd_covxy,mean_entropy,sd_entropy,mean_occupancy,sd_occupancy,mean_edge,sd_edge
1,0.41080082363439047,0.5334233329867337,0.1801233118928259,0.23240279693899513,-0.0016392901389881865,0.8733940183644894,0.238017034615456,0.02054064331599087,0.3972215634681091,0.5226931442074421,0.17570584790611543,0.2317832713062679,-0.0016978281105867778,0.8692296279812441,0.23876085965352045,0.019876587979061403,0.4149836028906581,0.5182783465133286,0.17567928335095614,0.23004717784756049,0.0003116662338998608,0.8635560869459284,0.22986157501021243,0.03132066340408938,0.4325021432015651,0.5214768570426409,0.18354884111238148,0.2370194661001699,0.0037342383540004504,0.8743448429621808,0.22157303691789218,0.01946693456700517,0.41387703329868075,0.012599473762147418,0.5239679201875362,0.005692243169189654,0.17876432106556975,0.0033019011158195114,0.23281317804824836,0.0025774375277565925,0.0001771965845813368,0.002207145773412731,0.8701311440634607,0.00425575241463526,0.23205312654927027,0.006985647064693335,0.022801207316536707,0.004933610611552789
2,0.41221382509854415,0.5323433419725729,0.18075603803379167,0.23050360273610218,-0.001637731624592108,0.8731941886215623,0.24128272285401983,0.02025817608297631,0.40086751593290537,0.522641140645107,0.17626129169749266,0.22958538929623123,-0.0015675695648921504,0.8679131013181536,0.24113403346423795,0.01949391149902413,0.4143853859056065,0.5205644619548462,0.17623674849648555,0.23000212238771037,0.00041343735305728697,0.8635296206212933,0.22959169666451654,0.030669985017033618,0.4297969265870229,0.5228346928992006,0.1841667269010596,0.23549504381108788,0.0035965023627853605,0.87392898048881,0.22276172211545606,0.01928200927452202,0.41431591338101975,0.010307094224196832,0.5245959093679317,0.0045606546793578685,0.17935520128220736,0.0033320469189608605,0.23139653955778292,0.002388500460329871,0.00020115963158959726,0.002126225418192055,0.8696414727624547,0.004223343371193157,0.2336925437745576,0.007894403024025005,0.02242602046838902,0.004773483270999946
3,0.40805533134989047,0.5327725319629318,0.1778702908075381,0.2312380273908587,-0.0013836869903926777,0.8692540824294516,0.24151687850471626,0.02210800006056608,0.3969779149498633,0.5201143629259325,0.173778461870346,0.23152137563024647,-0.0014677538507996265,0.8639936181106992,0.24257153799019607,0.02159941953617136,0.4126752188994156,0.5163366335390245,0.17483669288945297,0.2292110751640619,0.0006037761528049261,0.8613411660384344,0.22771220164566242,0.034095346531020636,0.4260252403118993,0.518883328556181,0.1836579375333217,0.2371286984153532,0.003719584486194049,0.8714543594343221,0.2217744276171643,0.021177310273022155,0.4109334263777672,0.010414370110750578,0.5220267142460174,0.006351920536809002,0.1775358457751647,0.0038404173303044084,0.23227479415013008,0.0029406328154318907,0.0003679799494516677,0.0021051786428802565,0.8665108065032269,0.004031925666745386,0.23339376143943474,0.008909344159863011,0.024745019100195057,0.005408461781590227
4,0.40939570924408597,0.5343118646634766,0.17884436396049916,0.23067922503965652,-0.0011990502081140808,0.8698532621680576,0.2433398112095217,0.021243343150934443,0.3984104820979591,0.5247997618660174,0.17434847249233737,0.229047070013081,-0.0014363019167842072,0.8636857391897546,0.24440186778167702,0.020575071563960785,0.41325772469074157,0.5199814479953879,0.17533491642439347,0.22810675260574423,0.00043075475490883487,0.8620243448174769,0.22663280706885028,0.03269224304204017,0.426771361024005,0.5226827680263005,0.1835261937077558,0.235467783516612,0.0037455451993634193,0.8716520471494796,0.21954339790366903,0.019973501241145032,0.4119588192641979,0.010139348125476547,0.5254439606377956,0.005397173863988634,0.17801348664624644,0.0035946962124464104,0.23082520779377344,0.002834016270385467,0.00038523695734349155,0.002068919587844961,0.8668038483311921,0.0040425924536627335,0.2334794709909295,0.010695980563233618,0.02362103974952011,0.005256487174118076
5,0.40980881985742224,0.53312815145552,0.17787373266183992,0.23041001851487855,-0.0012553346895039588,0.8691183418958168,0.24561027615307487,0.02181834581462872,0.3984482755250751,0.5247952270472755,0.17442174761838228,0.2301653859761621,-0.0011977138645124247,0.8626039117408858,0.2430470509321153,0.021050717052511624,0.41281714196123565,0.520412945299156,0.17574814432759364,0.22745686804842602,0.0007829662757986478,0.8610388933864772,0.22758406737410872,0.033236237510305855,0.426510587534144,0.5205368102502189,0.1848117965890457,0.2352677436303772,0.003879421369690154,0.8717174251040646,0.2184407808090092,0.019990616147031577,0.4118962062194692,0.009995402513616764,0.5247182835130426,0.005166053980095195,0.17821385529921538,0.004003383691676089,0.23082500404246095,0.0028146751189898705,0.0005523347728681046,0.0020888414989705946,0.8661196430318111,0.0044300604531423565,0.23367054381707703,0.011174378849698484,0.024023979131119443,0.005358143967858683
6,0.4087059600691716,0.531172594162318,0.17697438158716955,0.23025023412675596,-0.001385371741582745,0.8674965755258094,0.249316393971888,0.021973619705380518,0.39758993782143776,0.5255456879940117,0.17402168399368967,0.2314435560515707,-0.0011458694784085611,0.8616103327369031,0.24117665144087938,0.020790982384200452,0.4139651244626736,0.5213435884855824,0.17612772679871405,0.22877425888491468,0.0008394399438880051,0.8622953075328443,0.22470254335635767,0.032980233309969846,0.4262007809241076,0.5197858403508088,0.18447411344088266,0.23446899274260566,0.00359088668090313,0.8715406533987622,0.21975042771464645,0.02024882603191754,0.4116154508193477,0.010288743506556784,0.5244619277481802,0.0044101420922912655,0.177899476455114,0.003945187677036641,0.23123426045146175,0.002093275731880663,0.00047477135119995727,0.0019956056069978844,0.8657357172985798,0.004051330706122713,0.23373650412094288,0.011992826400069,0.02399841535786709,0.005223023491065369
7,0.4060032749358194,0.5320391889431433,0.17708029566519184,0.22977495536864986,-0.0012686899710338947,0.8669894651137957,0.24751216419711825,0.02151361311427844,0.39651462500862955,0.5237162319095159,0.173762086032801,0.23089089015475875,-0.0012044026430006517,0.8617149987895031,0.24188925827281743,0.020521395371685416,0.41223365407564333,0.5214655265776541,0.17606081423595796,0.22770800148159948,0.0008015869641330798,0.8618783346377616,0.22592039823789364,0.03248222213062509,0.4250693574963465,0.5198364577729337,0.18448401283942775,0.23333067270801833,0.003714320026640981,0.8711211328805364,0.21865417987318034,0.01996538294929394,0.40995522787910965,0.01036696529375431,0.5242643513008118,0.004695428525622349,0.17784680219334464,0.004016053925008868,0.2304261299282566,0.002028831029633198,0.0005107035941848786,0.0020282752676837206,0.8654259828553992,0.003912685177553343,0.23349400014525243,0.011668001049580212,0.02362065339147072,0.0051461981483208385
8,0.4057232188122716,0.5306322134510417,0.17668374975180579,0.23081144122810857,-0.0012358380326625371,0.8671209211881337,0.24651450089126556,0.02164696437134119,0.39638912593470504,0.5240659038696963,0.17350114827965082,0.2312204936809603,-0.0011118671109086931,0.8617143236952196,0.2393564006099599,0.020457858032040067,0.41223678477888026,0.5215523339399712,0.17529541006617563,0.2286435949347419,0.000634371878538041,0.8614127084858434,0.22708312335208705,0.03253840963499395,0.4243623558966124,0.5194272133158072,0.18381356872165286,0.2352676029023034,0.0036926545291165987,0.8707036025547781,0.22167147221293823,0.020201291497738465,0.4096778713556174,0.010178557802347138,0.5239194161441292,0.004209099391480889,0.17732346920482128,0.003913240148578413,0.23148578318652854,0.002392974614359067,0.0004948303160208524,0.00198885903851729,0.8652378889809937,0.003888037850489878,0.2336563742665627,0.009806467577980637,0.023711130884028417,0.005125533882103981
9,0.40561395759549324,0.5338631789661155,0.17637663163579173,0.2315048012138762,-0.0013686776903037436,0.8669204144526393,0.24560443690118097,0.02137236264027419,0.3975382277563805,0.5283856551842735,0.17374948370960686,0.23100660779791463,-0.001170101513619342,0.861363426923942,0.24096479619262479,0.020245488899639473,0.4129647630942646,0.5216832195458183,0.17475830911072798,0.22855446126575413,0.0006892806783512695,0.8615599058221043,0.22745556481636217,0.032325823375074864,0.42458848049716674,0.5202893597582113,0.18378290270719946,0.23538063564685005,0.0037183788964922403,0.8708864818734342,0.21984488441399289,0.019920130485283533,0.41017635723582624,0.009950154663983773,0.5260553533636046,0.005448731127352114,0.1771668317908315,0.003933066871547498,0.23161162648109876,0.0024458714444012316,0.00046722009273010605,0.0020414876428314346,0.86518255726803,0.003976941776731068,0.2334674205810402,0.010310597795161434,0.023465951350068015,0.005143555919425692
10,0.4060982140438827,0.5301217296109663,0.17637606025028954,0.2314849135753924,-0.001500874708499316,0.8667079877151049,0.24598677166889485,0.021361161122624574,0.39812105495094247,0.5255377892835243,0.17380223930041067,0.23120838061486926,-0.0009819646641820935,0.8610297408119688,0.2379176452252302,0.019870594947642758,0.4123478261520273,0.5208377624832833,0.17521205880703983,0.22828900653716352,0.00071580549294339,0.861819571647723,0.22650014304348637,0.0319581523755476,0.4241334282738733,0.5169477679326275,0.18348870106623985,0.23408230590961898,0.0035664988792286664,0.8700091107329746,0.2234409365019682,0.019884579747614907,0.4101751308551814,0.009506269881938458,0.5233612623276003,0.0049482863017902634,0.17721976485599497,0.003732350572088951,0.23126615165926104,0.0020521520478121074,0.00044986624987266167,0.0019773500373280175,0.8648916027269429,0.003668770060219056,0.2334613741098949,0.009022358949834804,0.02326862204835746,0.005053332439112862
