cid120,ancestor96,future_growth,future_logfold,n_desc132,g120_volume,g96_volume,g120_x,g96_x,g120_y,g96_y,g120_z,g96_z,g120_neighbors,g96_neighbors,g120_logvolume,g96_logvolume,d_x,d_y,d_z,logvol_ratio_96_120,cur_AG,old_AG,cur_AHP6,old_AHP6,cur_ANT,old_ANT,cur_AP1,old_AP1,cur_AP2,old_AP2,cur_AP3,old_AP3,cur_AS1,old_AS1,cur_ATML1,old_ATML1,cur_CLV3,old_CLV3,cur_CUC1_2_3,old_CUC1_2_3,cur_ETTIN,old_ETTIN,cur_FIL,old_FIL,cur_LFY,old_LFY,cur_MP,old_MP,cur_PHB_PHV,old_PHB_PHV,cur_PI,old_PI,cur_PUCHI,old_PUCHI,cur_REV,old_REV,cur_SEP1,old_SEP1,cur_SEP2,old_SEP2,cur_SEP3,old_SEP3,cur_STM,old_STM,cur_SUP,old_SUP,cur_SVP,old_SVP,cur_WUS,old_WUS
437,251,0.08429795820799241,0.6705829419652948,2,276.92786064305415,116.09632498314595,27.308734485290227,24.375890849663186,31.701117994324633,33.546128101200004,33.394300404653805,19.74229418304,17.0,12.0,5.623757041377823,4.7544202343109125,2.932843635627041,-1.845010106875371,13.652006221613807,0.8693368070669113,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
438,272,0.09185621657611827,0.7134580714114592,5,280.33790343568694,116.85791687503539,30.070893371535924,27.048969865323873,40.311428933590435,40.373824754291846,33.384613653358706,21.416358636266093,20.0,13.0,5.635995673558473,4.760958811150495,3.021923506212051,-0.06239582070141125,11.968255017092613,0.8750368624079781,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
439,207,0.03888938597135483,0.3651612948241127,4,319.6295976245425,176.96795009830902,34.819415797261826,31.12933125983738,14.585550768372274,19.606462559829957,35.25924161291572,18.412762190852316,15.0,18.0,5.767162817941349,5.175968643287245,3.690084537424447,-5.020911791457683,16.846479422063407,0.5911941746541045,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
440,199,0.09461747931080383,0.7286742692256079,3,278.67098307615976,188.20607435667756,36.721721934865826,30.87535841676045,39.59661582326702,38.91542033009278,32.1626891692986,16.974789612983614,15.0,13.0,5.630031813804381,5.237537502702031,5.8463635181053775,0.6811954931742434,15.187899556314989,0.39249431110235,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
441,324,0.20572986625516132,1.2034542151493595,4,180.57986386238161,99.65708536553248,15.416094031090239,17.904408438878388,42.24963969983648,38.9617060944548,31.871344780092834,26.264881899813606,14.0,10.0,5.196173138988151,4.601735146645264,-2.488314407788149,3.2879336053816814,5.606462880279228,0.5944379923428869,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,238,0.10279850990723514,0.7724433537761165,2,336.50835692215514,200.43798315690182,37.5933976926815,32.26721413436512,30.250080041907268,33.337681620453175,33.857498127335255,19.887215458551502,18.0,15.0,5.818622983611931,5.300504887961983,5.32618355831638,-3.0876015785459074,13.970282668783753,0.5181180956499475,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
444,306,0.1024981962571724,0.7708700722697475,2,196.17271316835897,187.68596282075305,31.26222379883096,27.212469061372946,63.10075778040786,51.0134953628266,32.35721979657684,25.602157765439433,16.0,15.0,5.278995460845345,5.234770155610792,4.049754737458013,12.087262417581258,6.75506203113741,0.04422530523455277,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
445,231,0.10606177978603043,0.7893812535533457,3,251.5525701414514,230.8459325964874,31.916434125822637,28.495445150858536,31.883969187549702,33.81393904327097,33.2697555385096,20.564621256246227,13.0,16.0,5.52765199410418,5.441750529549293,3.4209889749641,-1.929969855721268,12.705134282263373,0.08590146455488695,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
446,330,0.17488958111689235,1.0926216872344274,2,288.1581412366689,191.88400593214362,18.066916419711873,19.12952174184571,25.372796611909955,29.677464432575025,34.9070366400238,28.092544583131655,20.0,15.0,5.663509430951084,5.256891053694149,-1.0626053221338374,-4.30466782066507,6.814492056892142,0.4066183772569346,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,321,0.1278431762630163,0.8956345874760495,2,151.30874234908387,144.42382827903356,17.893792758397257,18.780573159602874,31.362467194334275,34.80821731157556,33.14307467535411,27.69942286273312,14.0,14.0,5.019322400678781,4.9727522286279005,-0.8867804012056162,-3.4457501172412854,5.443651812620988,0.0465701720508804,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
