outcome,test_sequence,r2,rmse
future_radial_velocity,01,-0.06175334706120794,0.0016242795254092365
future_radial_velocity,02,-0.093964677887445,0.0013365910123929968
future_speed,01,-0.11478436086563404,0.0009238392664411019
future_speed,02,-0.06850619481981579,0.0011707547901457626
