outcome,S_level,estimator,r2_S,r2_S_plus_H,r2_gain,fold_delta_positive_all,augmented_positive_r2_all_folds,augmented_beats_train_mean_dummy_all_folds,fold_deltas
future_radial_velocity,S0,extra_trees,-0.33402972184988755,-0.042974217948794635,0.2910555039010929,True,False,False,"{'01': 0.12381510526432393, '02': 0.4582959025378619}"
future_radial_velocity,S0,random_forest,-0.4353774378444317,-0.013481041736784438,0.4218963961076473,True,False,False,"{'01': 0.3365744473393921, '02': 0.5072183448759024}"
future_radial_velocity,S0,ridge,-0.3305113188472707,-1.4376580030664514,-1.1071466842191806,False,False,False,"{'01': 0.08079395288516822, '02': -2.295087321323529}"
future_radial_velocity,S1,extra_trees,-0.3087773511322838,-0.02177057607556465,0.2870067750567191,True,False,False,"{'01': 0.09093463245777422, '02': 0.483078917655664}"
future_radial_velocity,S1,random_forest,-0.2780408641871316,-0.020545871313903674,0.2574949928732279,True,False,False,"{'01': 0.2378634647533009, '02': 0.27712652099315493}"
future_radial_velocity,S1,ridge,-0.2317332222866635,-0.63775351823081,-0.40602029594414646,False,False,False,"{'01': -0.018296060029677763, '02': -0.7937445318586152}"
future_radial_velocity,S2,extra_trees,-0.25638415115793556,-0.0077015247875434345,0.24868262637039212,True,False,False,"{'01': 0.12812792587202315, '02': 0.3692373268687611}"
future_radial_velocity,S2,random_forest,-0.17869574362709262,0.001449410904135362,0.18014515453122798,True,False,False,"{'01': 0.19888626690071054, '02': 0.16140404216174542}"
future_radial_velocity,S2,ridge,-0.09206501405096501,-0.6220534524849789,-0.5299884384340139,False,False,False,"{'01': -0.015727623065764806, '02': -1.044249253802263}"
future_speed,S0,extra_trees,-0.3083634202774216,-0.3806680619586491,-0.07230464168122752,False,False,False,"{'01': -0.09219104513824417, '02': -0.05241823822421088}"
future_speed,S0,random_forest,-0.5528597150092943,-0.46282234815731316,0.09003736685198116,True,False,False,"{'01': 0.17152922215558175, '02': 0.008545511548380569}"
future_speed,S0,ridge,0.161600821080842,0.056673285844915766,-0.10492753523592624,False,True,True,"{'01': -0.17443855601309644, '02': -0.03541651445875604}"
future_speed,S1,extra_trees,-0.34857411370186697,-0.2710710378204635,0.07750307588140348,True,False,False,"{'01': 0.05982796586437433, '02': 0.09517818589843263}"
future_speed,S1,random_forest,-0.43919349499999727,-0.4318056071049535,0.007387887895043743,False,False,False,"{'01': 0.06213396888350209, '02': -0.0473581930934146}"
future_speed,S1,ridge,0.19730283229890244,0.10650348590656278,-0.09079934639233966,False,True,True,"{'01': -0.1394627726085227, '02': -0.04213592017615664}"
future_speed,S2,extra_trees,-0.3712015714037801,-0.28111067555921776,0.09009089584456231,True,False,False,"{'01': 0.08582771549982948, '02': 0.09435407618929514}"
future_speed,S2,random_forest,-0.4623300098283293,-0.3803955016896088,0.0819345081387205,True,False,False,"{'01': 0.10006265678478976, '02': 0.06380635949265123}"
future_speed,S2,ridge,0.18372832943670303,0.06572547347628216,-0.11800285596042087,False,True,True,"{'01': -0.18531342675102025, '02': -0.050692285169821494}"
