outcome,S_level,estimator,test_sequence,features,r2,rmse,n_train,n_test
future_speed,S2,ridge,01,S_plus_H,0.09174615935300368,0.0008338820111155183,194,93
future_speed,S2,ridge,02,S,0.09039707276938214,0.0010801979427568723,93,194
future_speed,S2,ridge,02,S_plus_H,0.03970478759956064,0.0011098896538478305,93,194
future_speed,S2,random_forest,01,S,-0.6397374629807233,0.0011204388089211647,194,93
future_speed,S2,random_forest,01,S_plus_H,-0.5396748061959336,0.0010857141184509615,194,93
future_speed,S2,random_forest,02,S,-0.28492255667593525,0.001283854766347312,93,194
future_speed,S2,random_forest,02,S_plus_H,-0.221116197183284,0.0012515722262457691,93,194
future_speed,S2,extra_trees,01,S,-0.519173186808245,0.0010784614530265715,194,93
future_speed,S2,extra_trees,01,S_plus_H,-0.4333454713084155,0.0010475540082715343,194,93
future_speed,S2,extra_trees,02,S,-0.22322995599931517,0.0012526549970622736,93,194
future_speed,S2,extra_trees,02,S_plus_H,-0.12887587981002002,0.001203373706655618,93,194
