organism,outcome,representation,track,estimator,test_sequence,r2,rmse,naive_rmse,beats_naive,fold_pass,n_features
Tribolium,future_radial_velocity,transductive_robust_z,secondary,naive_train_mean,02,-0.09396467788744034,0.0013365910123929621,0.0013365910123929621,False,False,99
Tribolium,future_radial_velocity,transductive_robust_z,secondary,ridge,02,-0.869814262671847,0.0017474152467626854,0.0013365910123929621,False,False,99
Tribolium,future_radial_velocity,transductive_robust_z,secondary,random_forest,02,0.11164818238061058,0.001204451687113718,0.0013365910123929621,True,True,99
Tribolium,future_radial_velocity,transductive_robust_z,secondary,extra_trees,02,0.17722189180137948,0.0011591462927572494,0.0013365910123929621,True,True,99
Tribolium,future_radial_velocity,transductive_coral,secondary,naive_train_mean,01,-0.06175334706120461,0.0016242795254091961,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,transductive_coral,secondary,ridge,01,-0.11621410785706088,0.0016654158906577964,0.0016242795254091961,False,False,99
Tribolium,future_radial_velocity,transductive_coral,secondary,random_forest,01,0.1772983008444925,0.001429783061398642,0.0016242795254091961,True,True,99
Tribolium,future_radial_velocity,transductive_coral,secondary,extra_trees,01,0.2968998500267084,0.001321775037898645,0.0016242795254091961,True,True,99
Tribolium,future_radial_velocity,transductive_coral,secondary,naive_train_mean,02,-0.09396467788744034,0.0013365910123929621,0.0013365910123929621,False,False,99
Tribolium,future_radial_velocity,transductive_coral,secondary,ridge,02,-0.2224534709253445,0.0014129053046000402,0.0013365910123929621,False,False,99
Tribolium,future_radial_velocity,transductive_coral,secondary,random_forest,02,0.2847236404754946,0.0010807713472101375,0.0013365910123929621,True,True,99
Tribolium,future_radial_velocity,transductive_coral,secondary,extra_trees,02,0.3317700716300245,0.0010446236357857565,0.0013365910123929621,True,True,99
