N,replicates,markov_mean_cmi_bits,markov_median_cmi_bits,markov_empirical_95pct_cutoff_bits,history_dependent_mean_cmi_bits,history_dependent_median_cmi_bits,empirical_power_at_markov_95pct_cutoff
250,1000,0.012377325610160105,0.01022823140284708,0.02876570620524888,0.019882957734851887,0.017075445978197292,0.203
500,1000,0.0057747213265004005,0.004968672090699166,0.013564370794044545,0.014557523456926123,0.013096127305886144,0.475
1000,1000,0.003061293824091571,0.0025910067185176775,0.00738043831149633,0.011675261570712112,0.010830677867486802,0.778
2000,1000,0.0014469252527771117,0.0012366700210864712,0.0034348569577282865,0.010351995825882278,0.00985492748547392,0.989
