test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,replicate,direction_seed
01,random_forest,0.11518686914545762,0.24486237663120392,0.1296755074857463,0.0015240395171197733,0.0014079379101402678,0.0016673625491195735,True,True,15,20260845
01,extra_trees,0.08384920628624615,0.24042378260036756,0.15657457631412142,0.0015507933485653597,0.0014120696792527811,0.0016673625491195735,True,True,15,20260845
02,random_forest,0.12609222315420654,0.1279095833447279,0.0018173601905213665,0.0013111093604530016,0.001309745373260459,0.0014567304053140285,True,True,15,20260845
02,extra_trees,0.1901867310288754,0.21690421994606146,0.02671748891718606,0.0012621139302274324,0.0012411193816864406,0.0014567304053140285,True,True,15,20260845
01,random_forest,0.09481799716057648,0.13265551518460894,0.03783751802403246,0.0015876447859522703,0.001554108002709219,0.001714014588686365,True,True,16,20260846
01,extra_trees,0.10128783931444951,0.17032311781416487,0.06903527849971536,0.0015819607182099827,0.0015199870252343673,0.001714014588686365,True,True,16,20260846
02,random_forest,0.059351533072814044,0.08491805009341791,0.025566517020603863,0.0012933419753323083,0.0012756445891528455,0.0013897740609812234,True,True,16,20260846
02,extra_trees,0.17048428639654645,0.20962184271848827,0.039137556321941824,0.0012145405115049361,0.0011855425933723846,0.0013897740609812234,True,True,16,20260846
01,random_forest,-0.0130770910129272,-0.05514451625518291,-0.04206742524225571,0.0015615837368303394,0.0015936758925539619,0.0015994133773344847,False,False,17,20260847
01,extra_trees,0.08297381563139261,0.07256703255314423,-0.010406783078248383,0.001485712913950019,0.0014941193660310123,0.0015994133773344847,True,True,17,20260847
02,random_forest,0.06410734090691761,0.06813125096926531,0.004023910062347702,0.0012714557304632198,0.0012687194472650743,0.001370544164192979,True,True,17,20260847
02,extra_trees,0.20003150594089047,0.20858763178769402,0.008556125846803542,0.0011755054978330594,0.0011692022426035413,0.001370544164192979,True,True,17,20260847
01,random_forest,-0.06890085742330876,-0.07581215620532866,-0.0069112987820199034,0.0016527713977525038,0.0016581060328326807,0.0016449301588121175,False,False,18,20260848
01,extra_trees,0.06827787450127243,0.07513039204979777,0.006852517548525339,0.0015430758705864446,0.0015373909844875859,0.0016449301588121175,True,True,18,20260848
02,random_forest,0.05128274293812596,0.06212575841491841,0.01084301547679245,0.001269889506334202,0.001262611784187987,0.0013601515577144187,True,True,18,20260848
02,extra_trees,0.17306042919974218,0.19465084324393966,0.02159041404419748,0.0011855897102249807,0.0011700101743692924,0.0013601515577144187,True,True,18,20260848
01,random_forest,0.023038518501236838,-0.013138401113749643,-0.03617691961498648,0.001514787070484832,0.001542578440761132,0.0015820066421278975,True,False,19,20260849
01,extra_trees,0.13440957714956203,0.09174527689670642,-0.042664300252855614,0.0014258344060872504,0.0014605509159148246,0.0015820066421278975,True,True,19,20260849
02,random_forest,0.07896756474512578,0.08252398338913725,0.003556418644011461,0.0012760561074007133,0.001273590081825368,0.0013863560060531953,True,True,19,20260849
02,extra_trees,0.21295116798450553,0.24253533804228045,0.029584170057774917,0.0011795956097479796,0.0011572135130815215,0.0013863560060531953,True,True,19,20260849
