test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,replicate,direction_seed
01,random_forest,0.08319259624140862,0.15400817995448535,0.07081558371307672,0.0016413783921697992,0.0015767133249024866,0.0017589626218420596,True,True,25,20260855
01,extra_trees,0.06955228080050668,0.1866404725707641,0.11708819177025742,0.0016535435736501599,0.0015460051456853622,0.0017589626218420596,True,True,25,20260855
02,random_forest,0.043796752171104236,0.0968197288738668,0.05302297670276257,0.0013251122397782997,0.001287848508795118,0.0014112781157854385,True,True,25,20260855
02,extra_trees,0.15205625149725355,0.20007576647060799,0.04801951497335444,0.0012478462538946212,0.0012119982288138957,0.0014112781157854385,True,True,25,20260855
01,random_forest,0.0015744326820903431,0.09275679647348378,0.09118236379139344,0.0017204905922319613,0.0016400470866491902,0.0017663123048945715,True,True,26,20260856
01,extra_trees,0.06144439293552628,0.17020385327676535,0.10875946034123907,0.0016681091309816679,0.0015684842506028202,0.0017663123048945715,True,True,26,20260856
02,random_forest,0.027533448106918046,0.08575991942930206,0.05822647132238401,0.0013179234392194418,0.001277859112021764,0.001393270665218275,True,True,26,20260856
02,extra_trees,0.13783327149895386,0.20190115346740767,0.06406788196845381,0.0012409334039357584,0.0011939363843538728,0.001393270665218275,True,True,26,20260856
01,random_forest,-0.012936316879169851,0.07580841869511168,0.08874473557428153,0.0017359421592912888,0.0016581552242478004,0.0017693073894469986,False,True,27,20260857
01,extra_trees,0.055563972172139375,0.1771429505212596,0.12157897834912024,0.0016762178166109666,0.0015646109904252229,0.0017693073894469986,True,True,27,20260857
02,random_forest,0.00953133963146513,0.07992940045918662,0.07039806082772149,0.0013309512526549275,0.0012827805214152997,0.0013942442218915852,True,True,27,20260857
02,extra_trees,0.13716368584388872,0.20948793534866317,0.07232424950477445,0.0012422413677681881,0.0011890388131742128,0.0013942442218915852,True,True,27,20260857
01,random_forest,0.07389116444394073,0.20036927466154464,0.1264781102176039,0.001608549473426801,0.001494679732640763,0.0017161942401927868,True,True,28,20260858
01,extra_trees,0.04536635733944128,0.20658108660972407,0.1612147292702828,0.0016331338358334772,0.0014888628154380574,0.0017161942401927868,True,True,28,20260858
02,random_forest,0.08562723225565361,0.11494559224138234,0.029318359985728737,0.001328097340350837,0.00130663187955549,0.0014423826713389027,True,True,28,20260858
02,extra_trees,0.1525242866573826,0.1756691360622542,0.023144849404871604,0.0012785917444196712,0.001261011495596721,0.0014423826713389027,True,True,28,20260858
01,random_forest,0.09489636941848134,0.1867218227237354,0.09182545330525405,0.0016222859417801515,0.0015377927560269664,0.001750333283530596,True,True,29,20260859
01,extra_trees,0.0698480242731574,0.1986379696831997,0.1287899454100423,0.0016445807697598805,0.0015264853189582929,0.001750333283530596,True,True,29,20260859
02,random_forest,0.0747671391054654,0.09938851704403917,0.024621377938573774,0.0013166132225530878,0.0012989768996472155,0.0014245949406803138,True,True,29,20260859
02,extra_trees,0.15881131525903358,0.1924920015530056,0.03368068629397203,0.001255392121873086,0.0012300028118129543,0.0014245949406803138,True,True,29,20260859
