test_sequence,estimator,r2_s,r2_s_plus_h,delta_r2,rmse_s,rmse_s_plus_h,naive_rmse,s_fold_pass,sh_fold_pass,replicate,direction_seed
01,random_forest,0.09995835694982413,0.2148253807806948,0.11486702383087066,0.0015910281090079745,0.001486037184961557,0.0017203219385289491,True,True,20,20260850
01,extra_trees,0.0779749331685885,0.2168070593808672,0.1388321262122787,0.0016103412384310858,0.0014841607179513817,0.0017203219385289491,True,True,20,20260850
02,random_forest,0.10183779725023101,0.1276985340126603,0.02586073676242928,0.0013059028508877386,0.0012869651413033372,0.0014302972726861294,True,True,20,20260850
02,extra_trees,0.16767345593905147,0.19881401376738417,0.031140557828332693,0.001257130476731098,0.0012333892383256156,0.0014302972726861294,True,True,20,20260850
01,random_forest,-0.016926811158140875,0.07680268450151406,0.09372949565965494,0.0017334413861507224,0.001651625497695718,0.0017636637013516468,False,True,21,20260851
01,extra_trees,0.053998581396316636,0.16054733942216914,0.10654875802585251,0.0016718996475300256,0.0015749342125238837,0.0017636637013516468,True,True,21,20260851
02,random_forest,0.012257686086890818,0.07299222250565407,0.06073453641876325,0.0013236910173642206,0.0012823497196407284,0.0013891032563396763,True,True,21,20260851
02,extra_trees,0.13237739751104105,0.2049911540496312,0.07261375653859015,0.0012405955554371645,0.001187546906752639,0.0013891032563396763,True,True,21,20260851
01,random_forest,0.06799845842295893,0.14866974131128952,0.08067128288833059,0.0016585934593702448,0.0015851876054290197,0.0017627306572227856,True,True,22,20260852
01,extra_trees,0.07306696264766033,0.1873028085519124,0.11423584590425206,0.0016540773463854656,0.001548802398499344,0.0017627306572227856,True,True,22,20260852
02,random_forest,0.04247536078923042,0.09714252135301438,0.054667160563783956,0.0013270874267256548,0.0012886475587968271,0.0014123970898593655,True,True,22,20260852
02,extra_trees,0.1394790321407513,0.20873763273613288,0.06925860059538158,0.0012580713838504039,0.0012063818954390151,0.0014123970898593655,True,True,22,20260852
01,random_forest,-0.010420134358440691,-0.018320817753914254,-0.007900683395473562,0.0016501521488054346,0.0016565910265557773,0.0016874395849772194,False,False,23,20260853
01,extra_trees,0.08768881614741753,0.07942671336082774,-0.008262102786589787,0.001567994347798574,0.0015750784064220392,0.0016874395849772194,True,True,23,20260853
02,random_forest,0.05846041634545518,0.054278021168803425,-0.004182395176651754,0.001279233979914405,0.0012820720621924617,0.0013749829713566796,True,True,23,20260853
02,extra_trees,0.18283146076398082,0.16950588395140764,-0.013325576812573181,0.001191753715018357,0.0012014313918666455,0.0013749829713566796,True,True,23,20260853
01,random_forest,0.016744551376462913,0.09532848756206391,0.078583936185601,0.00169623618127469,0.0016270413832047232,0.0017553144110075032,True,True,24,20260854
01,extra_trees,0.056998218106603105,0.17092053382671035,0.11392231572010725,0.0016611520957914609,0.0015575830818469892,0.0017553144110075032,True,True,24,20260854
02,random_forest,0.026067661418986532,0.07475326891658007,0.04868560749759354,0.001314060180046324,0.0012807950532192996,0.0013884828806655753,True,True,24,20260854
02,extra_trees,0.1396737548455924,0.2055961349165304,0.06592238007093798,0.001235044049900636,0.0011867835996529502,0.0013884828806655753,True,True,24,20260854
