estimator,feature_set,auc,logloss,brier,accuracy
hist_gb,S,0.9098474925460353,0.36955895281614426,0.08367141831171618,0.8941647597254004
hist_gb,S_plus_H,0.9721279409128036,0.19468733933731422,0.05523070073215362,0.9249141876430206
logistic,S,0.9325671437868133,0.26577129726028326,0.0615568218458696,0.9239130434782609
logistic,S_plus_H,0.9946064588853252,0.09741043667274464,0.018335287622301553,0.9796910755148741
random_forest,S,0.9082672603276425,0.3740495915966767,0.10732163079290996,0.904891304347826
random_forest,S_plus_H,0.9587819823229808,0.2880407274851974,0.08172130818566473,0.8931636155606407
