estimator,auc_gain,logloss_improvement,brier_improvement,accuracy_gain
logistic,0.062039315098511905,0.16836086058753863,0.043221534223568045,0.055778032036613245
random_forest,0.05051472199533835,0.08600886411147934,0.025600322607245235,-0.01172768878718533
hist_gb,0.06228044836676838,0.17487161347883004,0.028440717579562555,0.030749427917620142
