mode,rep,mean_auc_gain
known_complete,0,-0.0008390164172816239
known_complete,1,-0.0008887376599762131
known_complete,2,-0.0011026746689977163
known_complete,3,-0.0021918842819706463
known_complete,4,-0.0020286320085448617
known_complete,5,-0.00019022593348128058
known_complete,6,0.0005227703696010222
known_complete,7,-0.0005869332028272112
known_complete,8,-0.0010004768550202492
known_complete,9,-0.0010927719784776246
known_complete,10,-0.0005380922731744731
known_complete,11,-0.0010531824948604718
known_complete,12,-0.0011190574557087274
known_complete,13,0.00015822725373648705
known_complete,14,-0.0004190236748377041
known_complete,15,-0.00027781901232359907
known_complete,16,-0.0003736536047382333
known_complete,17,-0.0017587641117053354
known_complete,18,-0.001322893489286936
known_complete,19,-0.0017202263617354108
known_incomplete,0,0.01899019768173338
known_incomplete,1,0.08756997958242768
known_incomplete,2,0.035829079791318164
known_incomplete,3,0.029423689715573853
known_incomplete,4,0.03421410610580389
known_incomplete,5,0.049682565087494635
known_incomplete,6,0.07315919408507443
known_incomplete,7,0.050889187359023036
known_incomplete,8,0.0799844026325447
known_incomplete,9,0.10792619311567325
known_incomplete,10,0.051639816334259014
known_incomplete,11,0.06580841217605932
known_incomplete,12,0.06819065635582983
known_incomplete,13,0.042605278936558355
known_incomplete,14,0.031070054142269543
known_incomplete,15,0.13782343600085956
known_incomplete,16,0.04327640357269524
known_incomplete,17,0.03339222385640278
known_incomplete,18,0.01954046912499041
known_incomplete,19,0.0705244053225727
